    S:oredict.screwAbyssalnite.name=Винтик (Abyssalnite)
    S:oredict.screwAquaMiddle.name=Винтик (Aqua Middle)
    S:oredict.screwAquamarine.name=Винтик (Aquamarine)
    S:oredict.screwArdite.name=Винтик (Ardite)
    S:oredict.screwAredrite.name=Винтик (Aredrite)
    S:oredict.screwArsenic.name=Винтик (Arsenic)
    S:oredict.screwArsenopyrite.name=Винтик (Arsenopyrite)
    S:oredict.screwAshwood.name=Винтик (Ashwood)
    S:oredict.screwAspen.name=Винтик (Aspen)
    S:oredict.screwAstatine.name=Винтик (Astatine)
    S:oredict.screwAstralSilver.name=Винтик (Astral Silver)
    S:oredict.screwAtlarus.name=Винтик (Atlarus)
    S:oredict.screwAutumnwood.name=Винтик (Autumn Wood)
    S:oredict.screwAzurite.name=Винтик (Azurite)
    S:oredict.screwBalasRuby.name=Винтик (Ruby)
    S:oredict.screwBalsa.name=Винтик (Balsa)
    S:oredict.screwBamboo.name=Винтик (Bamboo)
    S:oredict.screwBaobab.name=Винтик (Baobab)
    S:oredict.screwBarite.name=Винтик (Barite)
    S:oredict.screwBarium.name=Винтик (Barium)
    S:oredict.screwBasalt.name=Винтик (Basalt)
    S:oredict.screwBasalz.name=Винтик (Basalz)
    S:oredict.screwBatteryAlloy.name=Винтик (Battery Alloy)
    S:oredict.screwBedrock.name=Винтик (Bedrock)
    S:oredict.screwBedrockHSLAAlloy.name=Винтик (Bedrock-HSLA-Alloy)
    S:oredict.screwBedrockium.name=Винтик (Bedrockium)
    S:oredict.screwBeech.name=Винтик (Beech)
    S:oredict.screwBerkelium.name=Винтик (Berkelium)
    S:oredict.screwBeryllium.name=Винтик (Beryllium)
    S:oredict.screwBeryllium7.name=Винтик (Beryllium-7)
    S:oredict.screwBeryllium8.name=Винтик (Beryllium-8)
    S:oredict.screwBetweenstone.name=Винтик (Betweenstone)
    S:oredict.screwBirch.name=Винтик (Birch)
    S:oredict.screwBismuth.name=Винтик (Bismuth)
    S:oredict.screwBismuthBronze.name=Винтик (Bismuth Bronze)
    S:oredict.screwBixbite.name=Винтик (Bixbite)
    S:oredict.screwBlackAventurine.name=Винтик (Black Aventurine)
    S:oredict.screwBlackBronze.name=Винтик (Black Bronze)
    S:oredict.screwBlackEye.name=Винтик (Black Eye)
    S:oredict.screwBlackFluorite.name=Винтик (Black Fluorite)
    S:oredict.screwBlackSteel.name=Винтик (Black Steel)
    S:oredict.screwBlackstone.name=Винтик (Blackstone)
    S:oredict.screwBlaze.name=Винтик (Blaze)
    S:oredict.screwBlazeQuartz.name=Винтик (Blaze Quartz)
    S:oredict.screwBlitz.name=Винтик (Blitz)
    S:oredict.screwBlizz.name=Винтик (Blizz)
    S:oredict.screwBlueAlloy.name=Винтик (Blue Alloy)
    S:oredict.screwBlueAventurine.name=Винтик (Blue Aventurine)
    S:oredict.screwBlueFluorite.name=Винтик (Blue Fluorite)
    S:oredict.screwBlueJasper.name=Винтик (Blue Jasper)
    S:oredict.screwBlueMahoe.name=Винтик (Blue Mahoe)
    S:oredict.screwBluePhosphorus.name=Винтик (Blue Phosphorus)
    S:oredict.screwBlueSapphire.name=Винтик (Blue Sapphire)
    S:oredict.screwBlueSpruce.name=Винтик (Blue Spruce)
    S:oredict.screwBlueSteel.name=Винтик (Blue Steel)
    S:oredict.screwBlueTopaz.name=Винтик (Blue Topaz)
    S:oredict.screwBlueschist.name=Винтик (Blue Schist)
    S:oredict.screwBluestone.name=Винтик (Bluestone)
    S:oredict.screwBlutonium.name=Винтик (Blutonium)
    S:oredict.screwBohrium.name=Винтик (Bohrium)
    S:oredict.screwBone.name=Винтик (Bone)
    S:oredict.screwBoron.name=Винтик (Boron)
    S:oredict.screwBoron11.name=Винтик (Boron-11)
    S:oredict.screwBoxwood.name=Винтик (Boxwood)
    S:oredict.screwBrass.name=Винтик (Brass)
    S:oredict.screwBrazilwood.name=Винтик (Brazilwood)
    S:oredict.screwBronze.name=Винтик (Bronze)
    S:oredict.screwBrownAventurine.name=Винтик (Brown Aventurine)
    S:oredict.screwButternutwood.name=Винтик (Butternutwood)
    S:oredict.screwCadmium.name=Винтик (Cadmium)
    S:oredict.screwCaesium.name=Винтик (Caesium)
    S:oredict.screwCalcium.name=Винтик (Calcium)
    S:oredict.screwCalifornium.name=Винтик (Californium)
    S:oredict.screwCarbon.name=Винтик (Carbon)
    S:oredict.screwCarborundum.name=Винтик (Carborundum)
    S:oredict.screwCarmot.name=Винтик (Carmot)
    S:oredict.screwCastIron.name=Винтик (Cast Iron)
    S:oredict.screwCatsEye.name=Винтик (Cat's Eye)
    S:oredict.screwCdInAgAlloy.name=Винтик (Cd-In-Ag-Alloy)
    S:oredict.screwCedar.name=Винтик (Cedar)
    S:oredict.screwCelenegil.name=Винтик (Celenegil)
    S:oredict.screwCelestine.name=Винтик (Celestine)
    S:oredict.screwCerium.name=Винтик (Cerium)
    S:oredict.screwCertusQuartz.name=Винтик (Certus Quartz)
    S:oredict.screwCeruclase.name=Винтик (Ceruclase)
    S:oredict.screwChalcopyrite.name=Винтик (Chalcopyrite)
    S:oredict.screwCharcoal.name=Винтик (Charcoal)
    S:oredict.screwChargedCertusQuartz.name=Винтик (Charged Certus Quartz)
    S:oredict.screwCherrywood.name=Винтик (Cherrywood)
    S:oredict.screwChert.name=Винтик (Chert)
    S:oredict.screwChestnutwood.name=Винтик (Chestnutwood)
    S:oredict.screwChimerite.name=Винтик (Chimerite)
    S:oredict.screwChromium.name=Винтик (Chromium)
    S:oredict.screwChromiumDioxide.name=Винтик (Chromium Dioxide)
    S:oredict.screwCinnabar.name=Винтик (Cinnabar)
    S:oredict.screwCinnamonwood.name=Винтик (Cinnamon)
    S:oredict.screwCitruswood.name=Винтик (Citruswood)
    S:oredict.screwClayCompound.name=Винтик (Clay Compound)
    S:oredict.screwCoal.name=Винтик (Coal)
    S:oredict.screwCoalCoke.name=Винтик (Coal Coke)
    S:oredict.screwCobalt.name=Винтик (Cobalt)
    S:oredict.screwCobalt60.name=Винтик (Cobalt-60)
    S:oredict.screwCobaltBrass.name=Винтик (Cobalt Brass)
    S:oredict.screwCobaltite.name=Винтик (Cobaltite)
    S:oredict.screwCocobolowood.name=Винтик (Cocobolowood)
    S:oredict.screwCoconutwood.name=Винтик (Coconut)
    S:oredict.screwConcrete.name=Винтик (Concrete)
    S:oredict.screwConductiveIron.name=Винтик (Conductive Iron)
    S:oredict.screwConstantan.name=Винтик (Constantan)
    S:oredict.screwContinuum.name=Винтик (Continuum)
    S:oredict.screwCooperite.name=Винтик (Sheldonite)
    S:oredict.screwCopernicium.name=Винтик (Copernicium)
    S:oredict.screwCopper.name=Винтик (Copper)
    S:oredict.screwCoralium.name=Винтик (Coralium)
    S:oredict.screwCosmicNeutronium.name=Винтик (Cosmic Neutronium)
    S:oredict.screwCraponite.name=Винтик (Craponite)
    S:oredict.screwCrimsonMiddle.name=Винтик (Crimson Middle)
    S:oredict.screwCrimsonwood.name=Винтик (Crimsonwood)
    S:oredict.screwCrystalMatrix.name=Винтик (Crystal Matrix)
    S:oredict.screwCrystallineAlloy.name=Винтик (Crystalline Alloy)
    S:oredict.screwCrystallinePinkSlime.name=Винтик (Crystalline Pink Slime)
    S:oredict.screwCurium.name=Винтик (Curium)
    S:oredict.screwCyanite.name=Винтик (Cyanite)
    S:oredict.screwCypress.name=Винтик (Cypress)
    S:oredict.screwDacite.name=Винтик (Dacite)
    S:oredict.screwDamascusSteel.name=Винтик (Damascus Steel)
    S:oredict.screwDarkIron.name=Винтик (Dark Iron)
    S:oredict.screwDarkMatter.name=Винтик (Dark Matter)
    S:oredict.screwDarkOak.name=Винтик (Dark Oak)
    S:oredict.screwDarkThaumium.name=Винтик (Dark Thaumium)
    S:oredict.screwDarkwood.name=Винтик (Darkwood)
    S:oredict.screwDarmstadtium.name=Винтик (Darmstadtium)
    S:oredict.screwDeadrock.name=Винтик (Deadrock)
    S:oredict.screwDeepIron.name=Винтик (Deep Iron)
    S:oredict.screwDeepslate.name=Винтик (Deepslate)
    S:oredict.screwDesh.name=Винтик (Desh)
    S:oredict.screwDesichalkos.name=Винтик (Desichalkos)
    S:oredict.screwDiamantine.name=Винтик (Diamantine)
    S:oredict.screwDiamond.name=Винтик (Diamond)
    S:oredict.screwDiamondIndustrial.name=Винтик (Industrial Diamond)
    S:oredict.screwDilithium.name=Винтик (Dilithium)
    S:oredict.screwDioptase.name=Винтик (Dioptase)
    S:oredict.screwDiorite.name=Винтик (Diorite)
    S:oredict.screwDominicanAmber.name=Винтик (Dominican Amber)
    S:oredict.screwDouglasFir.name=Винтик (Douglas Fir)
    S:oredict.screwDraconium.name=Винтик (Draconium)
    S:oredict.screwDraconiumAwakened.name=Винтик (Awakened Draconium)
    S:oredict.screwDragonEye.name=Винтик (Dragon Eye)
    S:oredict.screwDreadium.name=Винтик (Dreadium)
    S:oredict.screwDreamwood.name=Винтик (Dreamwood)
    S:oredict.screwDubnium.name=Винтик (Dubnium)
    S:oredict.screwDuralumin.name=Винтик (Duralumin)
    S:oredict.screwDuranium.name=Винтик (Duranium Alloy)
    S:oredict.screwDysprosium.name=Винтик (Dysprosium)
    S:oredict.screwEbony.name=Винтик (Ebony)
    S:oredict.screwEclogite.name=Винтик (Eclogite)
    S:oredict.screwEfrine.name=Винтик (Efrine)
    S:oredict.screwEinsteinium.name=Винтик (Einsteinium)
    S:oredict.screwElderwood.name=Винтик (Elderwood)
    S:oredict.screwElectricalSteel.name=Винтик (Electrical Steel)
    S:oredict.screwElectrotineAlloy.name=Винтик (Electrotine Alloy)
    S:oredict.screwElectrum.name=Винтик (Electrum)
    S:oredict.screwElectrumFlux.name=Винтик (Electrum Flux)
    S:oredict.screwElm.name=Винтик (Elm)
    S:oredict.screwElvenDragonstone.name=Винтик (Dragonstone)
    S:oredict.screwElvenElementium.name=Винтик (Elementium)
    S:oredict.screwElvenQuartz.name=Винтик (Elven Quartz)
    S:oredict.screwElvorium.name=Винтик (Elvorium)
    S:oredict.screwEmeradic.name=Винтик (Emeradic)
    S:oredict.screwEmerald.name=Винтик (Emerald)
    S:oredict.screwEmpty.name=Винтик (Empty)
    S:oredict.screwEndSteel.name=Винтик (End Steel)
    S:oredict.screwEnderEye.name=Винтик (Endereye)
    S:oredict.screwEnderPearl.name=Винтик (Enderpearl)
    S:oredict.screwEnderium.name=Винтик (Enderium)
    S:oredict.screwEnderiumBase.name=Винтик (Enderium Base)
    S:oredict.screwEndium.name=Винтик (Endium)
    S:oredict.screwEndstone.name=Винтик (Endstone)
    S:oredict.screwEnergeticAlloy.name=Винтик (Energetic Alloy)
    S:oredict.screwEnergeticSilver.name=Винтик (Energetic Silver)
    S:oredict.screwEnergiumCyan.name=Винтик (Cyan Energium)
    S:oredict.screwEnergiumRed.name=Винтик (Red Energium)
    S:oredict.screwEnori.name=Винтик (Enori)
    S:oredict.screwEpidote.name=Винтик (Epidote)
    S:oredict.screwErbium.name=Винтик (Erbium)
    S:oredict.screwEthaxium.name=Винтик (Ethaxium)
    S:oredict.screwEtherealwood.name=Винтик (Etherealwood)
    S:oredict.screwEucalyptus.name=Винтик (Eucalyptus)
    S:oredict.screwEudialyte.name=Винтик (Eudialyte)
    S:oredict.screwEuropium.name=Винтик (Europium)
    S:oredict.screwEximite.name=Винтик (Eximite)
    S:oredict.screwFarnsium.name=Винтик (Farnsium)
    S:oredict.screwFermium.name=Винтик (Fermium)
    S:oredict.screwFerrite.name=Винтик (Ferrite)
    S:oredict.screwFierySteel.name=Винтик (Fiery Steel)
    S:oredict.screwFigwood.name=Винтик (Figwood)
    S:oredict.screwFir.name=Винтик (Fir)
    S:oredict.screwFirestone.name=Винтик (Firestone)
    S:oredict.screwFlerovium.name=Винтик (Flerovium)
    S:oredict.screwFlerovium298.name=Винтик (Flerovium-298)
    S:oredict.screwFlint.name=Винтик (Flint)
    S:oredict.screwFluix.name=Винтик (Fluix)
    S:oredict.screwFluorite.name=Винтик (Fluorite)
    S:oredict.screwForce.name=Винтик (Force)
    S:oredict.screwForcicium.name=Винтик (Forcicium)
    S:oredict.screwForcillium.name=Винтик (Forcillium)
    S:oredict.screwFoxfirewood.name=Винтик (Foxfire)
    S:oredict.screwFrancium.name=Винтик (Francium)
    S:oredict.screwFrezarite.name=Винтик (Frezarite)
    S:oredict.screwFrozenIron.name=Винтик (Frozen Iron)
    S:oredict.screwGabbro.name=Винтик (Gabbro)
    S:oredict.screwGadolinium.name=Винтик (Gadolinium)
    S:oredict.screwGaiaSpirit.name=Винтик (Gaia Spirit)
    S:oredict.screwGalena.name=Винтик (Galena)
    S:oredict.screwGallium.name=Винтик (Gallium)
    S:oredict.screwGermanium.name=Винтик (Germanium)
    S:oredict.screwGiganteumwood.name=Винтик (Giganteumwood)
    S:oredict.screwGildedIron.name=Винтик (Gilded Iron)
    S:oredict.screwGingko.name=Винтик (Gingko)
    S:oredict.screwGlass.name=Винтик (Glass)
    S:oredict.screwGloomstone.name=Винтик (Gloomstone)
    S:oredict.screwGlowstone.name=Винтик (Glowstone)
    S:oredict.screwGlowstoneCeres.name=Винтик (Ceres Glowstone)
    S:oredict.screwGlowstoneEnceladus.name=Винтик (Enceladus Glowstone)
    S:oredict.screwGlowstoneIo.name=Винтик (Io Glowstone)
    S:oredict.screwGlowstonePluto.name=Винтик (Pluto Glowstone)
    S:oredict.screwGlowstoneProteus.name=Винтик (Proteus Glowstone)
    S:oredict.screwGlowstoneRefined.name=Винтик (Refined Glowstone)
    S:oredict.screwGneiss.name=Винтик (Gneiss)
    S:oredict.screwGold.name=Винтик (Gold)
    S:oredict.screwGold198.name=Винтик (Gold-198)
    S:oredict.screwGoldInductive.name=Винтик (Inductive Alloy)
    S:oredict.screwGoldwood.name=Винтик (Goldwood)
    S:oredict.screwGoshenite.name=Винтик (Goshenite)
    S:oredict.screwGranite.name=Винтик (Granite)
    S:oredict.screwGraniteBlack.name=Винтик (Black Granite)
    S:oredict.screwGraniteRed.name=Винтик (Red Granite)
    S:oredict.screwGraphene.name=Винтик (Graphene)
    S:oredict.screwGraphite.name=Винтик (Graphite)
    S:oredict.screwGravitite.name=Винтик (Gravitite)
    S:oredict.screwGrayschist.name=Винтик (Gray Schist)
    S:oredict.screwGreatwood.name=Винтик (Greatwood)
    S:oredict.screwGreenAventurine.name=Винтик (Green Aventurine)
    S:oredict.screwGreenFluorite.name=Винтик (Green Fluorite)
    S:oredict.screwGreenJasper.name=Винтик (Green Jasper)
    S:oredict.screwGreenMiddle.name=Винтик (Green Middle)
    S:oredict.screwGreenSapphire.name=Винтик (Green Sapphire)
    S:oredict.screwGreenheart.name=Винтик (Greenheart)
    S:oredict.screwGreenschist.name=Винтик (Green Schist)
    S:oredict.screwGreenstone.name=Винтик (Greenstone)
    S:oredict.screwGreywacke.name=Винтик (Greywacke)
    S:oredict.screwGrossular.name=Винтик (Grossular)
    S:oredict.screwHSLASpringSteel.name=Винтик (Spring Steel)
    S:oredict.screwHSLASteel.name=Винтик (HSLA-Steel)
    S:oredict.screwHSLATungstenAlloy.name=Винтик (Tungsten Alloy)
    S:oredict.screwHSSE.name=Винтик (HSS-E)
    S:oredict.screwHSSG.name=Винтик (HSS-G)
    S:oredict.screwHSSS.name=Винтик (HSS-S)
    S:oredict.screwHaderoth.name=Винтик (Haderoth)
    S:oredict.screwHafnium.name=Винтик (Hafnium)
    S:oredict.screwHassium.name=Винтик (Hassium)
    S:oredict.screwHawksEye.name=Винтик (Hawk's Eye)
    S:oredict.screwHawthorn.name=Винтик (Hawthorn)
    S:oredict.screwHazel.name=Винтик (Hazel)
    S:oredict.screwHeliodor.name=Винтик (Heliodor)
    S:oredict.screwHellbark.name=Винтик (Hellbark)
    S:oredict.screwHemlock.name=Винтик (Hemlock)
    S:oredict.screwHepatizon.name=Винтик (Hepatizon)
    S:oredict.screwHexoriumBlack.name=Винтик (Black Hexorium)
    S:oredict.screwHexoriumBlue.name=Винтик (Blue Hexorium)
    S:oredict.screwHexoriumGreen.name=Винтик (Green Hexorium)
    S:oredict.screwHexoriumRed.name=Винтик (Red Hexorium)
    S:oredict.screwHexoriumWhite.name=Винтик (White Hexorium)
    S:oredict.screwHickory.name=Винтик (Hickory)
    S:oredict.screwHolly.name=Винтик (Holly)
    S:oredict.screwHolmium.name=Винтик (Holmium)
    S:oredict.screwHolystone.name=Винтик (Holystone)
    S:oredict.screwHornbeam.name=Винтик (Hornbeam)
    S:oredict.screwIce.name=Винтик (Ice)
    S:oredict.screwIgnatius.name=Винтик (Ignatius)
    S:oredict.screwIndium.name=Винтик (Indium)
    S:oredict.screwInfinity.name=Винтик (Infinity)
    S:oredict.screwInfuscolium.name=Винтик (Infuscolium)
    S:oredict.screwInfusedAir.name=Винтик (Air infused)
    S:oredict.screwInfusedBalance.name=Винтик (Balance infused)
    S:oredict.screwInfusedDull.name=Винтик (Dull)
    S:oredict.screwInfusedEarth.name=Винтик (Earth infused)
    S:oredict.screwInfusedEntropy.name=Винтик (Entropy infused)
    S:oredict.screwInfusedFire.name=Винтик (Fire infused)
    S:oredict.screwInfusedOrder.name=Винтик (Order infused)
    S:oredict.screwInfusedVis.name=Винтик (Magic infused)
    S:oredict.screwInfusedWater.name=Винтик (Water infused)
    S:oredict.screwInolashite.name=Винтик (Inolashite)
    S:oredict.screwInvar.name=Винтик (Invar)
    S:oredict.screwIpe.name=Винтик (Ipe)
    S:oredict.screwIridium.name=Винтик (Iridium)
    S:oredict.screwIroko.name=Винтик (Iroko)
    S:oredict.screwIron.name=Винтик (Iron)
    S:oredict.screwIronCompressed.name=Винтик (Compressed Iron)
    S:oredict.screwIronMagnetic.name=Винтик (Magnetic Iron)
    S:oredict.screwIronwood.name=Винтик (Ironwood)
    S:oredict.screwJacaranda.name=Винтик (Jacaranda)
    S:oredict.screwJade.name=Винтик (Jade)
    S:oredict.screwJapaneseMaple.name=Винтик (Japanese Maple)
    S:oredict.screwJunglewood.name=Винтик (Junglewood)
    S:oredict.screwKalendrite.name=Винтик (Kalendrite)
    S:oredict.screwKanthal.name=Винтик (Kanthal)
    S:oredict.screwKapok.name=Винтик (Kapok)
    S:oredict.screwKesterite.name=Винтик (Kesterite)
    S:oredict.screwKimberlite.name=Винтик (Kimberlite)
