    S:oredict.blockDustAbyssalOat.name=Блок овса (Abyssal)
    S:oredict.blockDustAntiAluminium.name=Блок пыли (Anti-Aluminium)
    S:oredict.blockDustAntiAmericium.name=Блок пыли (Anti-Americium)
    S:oredict.blockDustAntiAmericium241.name=Блок пыли (Anti-Americium-241)
    S:oredict.blockDustAntiAntimony.name=Блок пыли (Anti-Antimony)
    S:oredict.blockDustAntiArsenic.name=Блок пыли (Anti-Arsenic)
    S:oredict.blockDustAntiAstatine.name=Блок пыли (Anti-Astatine)
    S:oredict.blockDustAntiBarium.name=Блок пыли (Anti-Barium)
    S:oredict.blockDustAntiBerkelium.name=Блок пыли (Anti-Berkelium)
    S:oredict.blockDustAntiBeryllium.name=Блок пыли (Anti-Beryllium)
    S:oredict.blockDustAntiBismuth.name=Блок пыли (Anti-Bismuth)
    S:oredict.blockDustAntiBohrium.name=Блок пыли (Anti-Bohrium)
    S:oredict.blockDustAntiBoron.name=Блок пыли (Anti-Boron)
    S:oredict.blockDustAntiBromine.name=Блок пыли (Anti-Bromine)
    S:oredict.blockDustAntiCadmium.name=Блок пыли (Anti-Cadmium)
    S:oredict.blockDustAntiCaesium.name=Блок пыли (Anti-Caesium)
    S:oredict.blockDustAntiCalcium.name=Блок пыли (Anti-Calcium)
    S:oredict.blockDustAntiCalifornium.name=Блок пыли (Anti-Californium)
    S:oredict.blockDustAntiCarbon.name=Блок пыли (Anti-Carbon)
    S:oredict.blockDustAntiCarbon13.name=Блок пыли (Anti-Carbon-13)
    S:oredict.blockDustAntiCarbon14.name=Блок пыли (Anti-Carbon-14)
    S:oredict.blockDustAntiCerium.name=Блок пыли (Anti-Cerium)
    S:oredict.blockDustAntiChlorine.name=Блок пыли (Anti-Chlorine)
    S:oredict.blockDustAntiChromium.name=Блок пыли (Anti-Chromium)
    S:oredict.blockDustAntiCobalt.name=Блок пыли (Anti-Cobalt)
    S:oredict.blockDustAntiCobalt60.name=Блок пыли (Anti-Cobalt-60)
    S:oredict.blockDustAntiCopernicium.name=Блок пыли (Anti-Copernicium)
    S:oredict.blockDustAntiCopper.name=Блок пыли (Anti-Copper)
    S:oredict.blockDustAntiCurium.name=Блок пыли (Anti-Curium)
    S:oredict.blockDustAntiDarmstadtium.name=Блок пыли (Anti-Darmstadtium)
    S:oredict.blockDustAntiDubnium.name=Блок пыли (Anti-Dubnium)
    S:oredict.blockDustAntiDysprosium.name=Блок пыли (Anti-Dysprosium)
    S:oredict.blockDustAntiEinsteinium.name=Блок пыли (Anti-Einsteinium)
    S:oredict.blockDustAntiErbium.name=Блок пыли (Anti-Erbium)
    S:oredict.blockDustAntiEuropium.name=Блок пыли (Anti-Europium)
    S:oredict.blockDustAntiFarnsium.name=Блок пыли (Anti-Farnsium)
    S:oredict.blockDustAntiFermium.name=Блок пыли (Anti-Fermium)
    S:oredict.blockDustAntiFlerovium.name=Блок пыли (Anti-Flerovium)
    S:oredict.blockDustAntiFlerovium298.name=Блок пыли (Anti-Flerovium-298)
    S:oredict.blockDustAntiFluorine.name=Блок пыли (Anti-Fluorine)
    S:oredict.blockDustAntiFrancium.name=Блок пыли (Anti-Francium)
    S:oredict.blockDustAntiGadolinium.name=Блок пыли (Anti-Gadolinium)
    S:oredict.blockDustAntiGallium.name=Блок пыли (Anti-Gallium)
    S:oredict.blockDustAntiGermanium.name=Блок пыли (Anti-Germanium)
    S:oredict.blockDustAntiGold.name=Блок пыли (Anti-Gold)
    S:oredict.blockDustAntiHafnium.name=Блок пыли (Anti-Hafnium)
    S:oredict.blockDustAntiHassium.name=Блок пыли (Anti-Hassium)
    S:oredict.blockDustAntiHolmium.name=Блок пыли (Anti-Holmium)
    S:oredict.blockDustAntiIndium.name=Блок пыли (Anti-Indium)
    S:oredict.blockDustAntiIodine.name=Блок пыли (Anti-Iodine)
    S:oredict.blockDustAntiIridium.name=Блок пыли (Anti-Iridium)
    S:oredict.blockDustAntiIron.name=Блок пыли (Anti-Iron)
    S:oredict.blockDustAntiLanthanum.name=Блок пыли (Anti-Lanthanum)
    S:oredict.blockDustAntiLawrencium.name=Блок пыли (Anti-Lawrencium)
    S:oredict.blockDustAntiLead.name=Блок пыли (Anti-Lead)
    S:oredict.blockDustAntiLithium.name=Блок пыли (Anti-Lithium)
    S:oredict.blockDustAntiLithium6.name=Блок пыли (Anti-Lithium-6)
    S:oredict.blockDustAntiLivermorium.name=Блок пыли (Anti-Livermorium)
    S:oredict.blockDustAntiLutetium.name=Блок пыли (Anti-Lutetium)
    S:oredict.blockDustAntiMagnesium.name=Блок пыли (Anti-Magnesium)
    S:oredict.blockDustAntiManganese.name=Блок пыли (Anti-Manganese)
    S:oredict.blockDustAntiMeitnerium.name=Блок пыли (Anti-Meitnerium)
    S:oredict.blockDustAntiMendelevium.name=Блок пыли (Anti-Mendelevium)
    S:oredict.blockDustAntiMercury.name=Блок пыли (Anti-Mercury)
    S:oredict.blockDustAntiMolybdenum.name=Блок пыли (Anti-Molybdenum)
    S:oredict.blockDustAntiNaquadah.name=Блок пыли (Anti-Naquadah)
    S:oredict.blockDustAntiNaquadahEnriched.name=Блок пыли (Enriched Anti-Naquadah)
    S:oredict.blockDustAntiNaquadria.name=Блок пыли (Anti-Naquadria)
    S:oredict.blockDustAntiNeodymium.name=Блок пыли (Anti-Neodymium)
    S:oredict.blockDustAntiNeptunium.name=Блок пыли (Anti-Neptunium)
    S:oredict.blockDustAntiNickel.name=Блок пыли (Anti-Nickel)
    S:oredict.blockDustAntiNiobium.name=Блок пыли (Anti-Niobium)
    S:oredict.blockDustAntiNobelium.name=Блок пыли (Anti-Nobelium)
    S:oredict.blockDustAntiOsmium.name=Блок пыли (Anti-Osmium)
    S:oredict.blockDustAntiPalladium.name=Блок пыли (Anti-Palladium)
    S:oredict.blockDustAntiPhosphor.name=Блок пыли (Anti-Phosphor)
    S:oredict.blockDustAntiPlatinum.name=Блок пыли (Anti-Platinum)
    S:oredict.blockDustAntiPlutonium.name=Блок пыли (Anti-Plutonium)
    S:oredict.blockDustAntiPlutonium241.name=Блок пыли (Anti-Plutonium-241)
    S:oredict.blockDustAntiPlutonium243.name=Блок пыли (Anti-Plutonium-243)
    S:oredict.blockDustAntiPolonium.name=Блок пыли (Anti-Polonium)
    S:oredict.blockDustAntiPotassium.name=Блок пыли (Anti-Potassium)
    S:oredict.blockDustAntiPraseodymium.name=Блок пыли (Anti-Praseodymium)
    S:oredict.blockDustAntiPromethium.name=Блок пыли (Anti-Promethium)
    S:oredict.blockDustAntiProtactinium.name=Блок пыли (Anti-Protactinium)
    S:oredict.blockDustAntiRadium.name=Блок пыли (Anti-Radium)
    S:oredict.blockDustAntiRhenium.name=Блок пыли (Anti-Rhenium)
    S:oredict.blockDustAntiRhodium.name=Блок пыли (Anti-Rhodium)
    S:oredict.blockDustAntiRoentgenium.name=Блок пыли (Anti-Roentgenium)
    S:oredict.blockDustAntiRubidium.name=Блок пыли (Anti-Rubidium)
    S:oredict.blockDustAntiRuthenium.name=Блок пыли (Anti-Ruthenium)
    S:oredict.blockDustAntiRutherfordium.name=Блок пыли (Anti-Rutherfordium)
    S:oredict.blockDustAntiSamarium.name=Блок пыли (Anti-Samarium)
    S:oredict.blockDustAntiScandium.name=Блок пыли (Anti-Scandium)
    S:oredict.blockDustAntiSeaborgium.name=Блок пыли (Anti-Seaborgium)
    S:oredict.blockDustAntiSelenium.name=Блок пыли (Anti-Selenium)
    S:oredict.blockDustAntiSilicon.name=Блок пыли (Anti-Silicon)
    S:oredict.blockDustAntiSilver.name=Блок пыли (Anti-Silver)
    S:oredict.blockDustAntiSodium.name=Блок пыли (Anti-Sodium)
    S:oredict.blockDustAntiStrontium.name=Блок пыли (Anti-Strontium)
    S:oredict.blockDustAntiSulfur.name=Блок пыли (Anti-Sulfur)
    S:oredict.blockDustAntiTantalum.name=Блок пыли (Anti-Tantalum)
    S:oredict.blockDustAntiTechnetium.name=Блок пыли (Anti-Technetium)
    S:oredict.blockDustAntiTellurium.name=Блок пыли (Anti-Tellurium)
    S:oredict.blockDustAntiTerbium.name=Блок пыли (Anti-Terbium)
    S:oredict.blockDustAntiThallium.name=Блок пыли (Anti-Thallium)
    S:oredict.blockDustAntiThorium.name=Блок пыли (Anti-Thorium)
    S:oredict.blockDustAntiThulium.name=Блок пыли (Anti-Thulium)
    S:oredict.blockDustAntiTin.name=Блок пыли (Anti-Tin)
    S:oredict.blockDustAntiTitanium.name=Блок пыли (Anti-Titanium)
    S:oredict.blockDustAntiTungsten.name=Блок пыли (Anti-Tungsten)
    S:oredict.blockDustAntiUnbinilium.name=Блок пыли (Anti-Unbinilium)
    S:oredict.blockDustAntiUnunennium.name=Блок пыли (Anti-Ununennium)
    S:oredict.blockDustAntiUnunoctium.name=Блок пыли (Anti-Ununoctium)
    S:oredict.blockDustAntiUnunpentium.name=Блок пыли (Anti-Ununpentium)
    S:oredict.blockDustAntiUnuntrium.name=Блок пыли (Anti-Ununtrium)
    S:oredict.blockDustAntiUranium.name=Блок пыли (Anti-Uranium)
    S:oredict.blockDustAntiUranium235.name=Блок пыли (Anti-Uranium-235)
    S:oredict.blockDustAntiVanadium.name=Блок пыли (Anti-Vanadium)
    S:oredict.blockDustAntiVibranium.name=Блок пыли (Anti-Vibranium)
    S:oredict.blockDustAntiYtterbium.name=Блок пыли (Anti-Ytterbium)
    S:oredict.blockDustAntiYttrium.name=Блок пыли (Anti-Yttrium)
    S:oredict.blockDustAntiZinc.name=Блок пыли (Anti-Zinc)
    S:oredict.blockDustAntiZirconium.name=Блок пыли (Anti-Zirconium)
    S:oredict.blockDustAntimony.name=Блок пыли (Antimony)
    S:oredict.blockDustApatite.name=Блок пыли (Apatite)
    S:oredict.blockDustApplewood.name=Блок опилок (Applewood)
    S:oredict.blockDustAquaMiddle.name=Блок пыли (Aqua Middle)
    S:oredict.blockDustAquamarine.name=Блок пыли (Aquamarine)
    S:oredict.blockDustArcaneAshes.name=Блок пепла (Arcane)
    S:oredict.blockDustArcaneCompound.name=Блок смеси (Arcane)
    S:oredict.blockDustArdite.name=Блок пыли (Ardite)
    S:oredict.blockDustAredrite.name=Блок пыли (Aredrite)
    S:oredict.blockDustArsenic.name=Блок пыли (Arsenic)
    S:oredict.blockDustArsenopyrite.name=Блок пыли (Arsenopyrite)
    S:oredict.blockDustAsbestos.name=Блок пыли (Asbestos)
    S:oredict.blockDustAshes.name=Блок пепла
    S:oredict.blockDustAshwood.name=Блок опилок (Ashwood)
    S:oredict.blockDustAspen.name=Блок опилок (Aspen)
    S:oredict.blockDustAsphalt.name=Блок Асфальта
    S:oredict.blockDustAstatine.name=Блок пыли (Astatine)
    S:oredict.blockDustAstralSilver.name=Блок пыли (Astral Silver)
    S:oredict.blockDustAtlarus.name=Блок пыли (Atlarus)
    S:oredict.blockDustAutumnwood.name=Блок опилок (Autumn Wood)
    S:oredict.blockDustAzurite.name=Блок пыли (Azurite)
    S:oredict.blockDustBalasRuby.name=Блок пыли (Ruby)
    S:oredict.blockDustBalsa.name=Блок опилок (Balsa)
    S:oredict.blockDustBamboo.name=Блок опилок (Bamboo)
    S:oredict.blockDustBaobab.name=Блок опилок (Baobab)
    S:oredict.blockDustBarite.name=Блок пыли (Barite)
    S:oredict.blockDustBarium.name=Блок пыли (Barium)
    S:oredict.blockDustBark.name=Блок древесной коры
    S:oredict.blockDustBarley.name=Блок ячменной муки
    S:oredict.blockDustBasalt.name=Блок пыли (Basalt)
    S:oredict.blockDustBasalz.name=Блок порошка (Basalz)
    S:oredict.blockDustBastnasite.name=Блок пыли (Bastnasite)
    S:oredict.blockDustBatteryAlloy.name=Блок пыли (Battery Alloy)
    S:oredict.blockDustBauxite.name=Блок пыли (Bauxite)
    S:oredict.blockDustBedrock.name=Блок пыли (Bedrock)
    S:oredict.blockDustBedrockHSLAAlloy.name=Блок пыли (Bedrock-HSLA-Alloy)
    S:oredict.blockDustBedrockium.name=Блок пыли (Bedrockium)
    S:oredict.blockDustBeech.name=Блок опилок (Beech)
    S:oredict.blockDustBentonite.name=Блок порошка (Bentonite Clay)
    S:oredict.blockDustBerkelium.name=Блок пыли (Berkelium)
    S:oredict.blockDustBeryllium.name=Блок пыли (Beryllium)
    S:oredict.blockDustBeryllium7.name=Блок пыли (Beryllium-7)
    S:oredict.blockDustBeryllium8.name=Блок пыли (Beryllium-8)
    S:oredict.blockDustBetweenstone.name=Блок пыли (Betweenstone)
    S:oredict.blockDustBiotite.name=Блок пыли (Biotite)
    S:oredict.blockDustBirch.name=Блок опилок (Birch)
    S:oredict.blockDustBischofite.name=Блок пыли (Bischofite)
    S:oredict.blockDustBismuth.name=Блок пыли (Bismuth)
    S:oredict.blockDustBismuthBronze.name=Блок пыли (Bismuth Bronze)
    S:oredict.blockDustBixbite.name=Блок пыли (Bixbite)
    S:oredict.blockDustBlack.name=Блок красителя (Черный)
    S:oredict.blockDustBlackAventurine.name=Блок пыли (Black Aventurine)
    S:oredict.blockDustBlackBronze.name=Блок пыли (Black Bronze)
    S:oredict.blockDustBlackEye.name=Блок пыли (Black Eye)
    S:oredict.blockDustBlackFluorite.name=Блок пыли (Black Fluorite)
    S:oredict.blockDustBlackSteel.name=Блок пыли (Black Steel)
    S:oredict.blockDustBlackstone.name=Блок пыли (Blackstone)
    S:oredict.blockDustBlaze.name=Блок порошка (Blaze)
    S:oredict.blockDustBlazeQuartz.name=Блок пыли (Blaze Quartz)
    S:oredict.blockDustBlitz.name=Блок порошка (Blitz)
    S:oredict.blockDustBlizz.name=Блок порошка (Blizz)
    S:oredict.blockDustBlue.name=Блок красителя (Синий)
    S:oredict.blockDustBlueAlloy.name=Блок пыли (Blue Alloy)
    S:oredict.blockDustBlueAventurine.name=Блок пыли (Blue Aventurine)
    S:oredict.blockDustBlueFluorite.name=Блок пыли (Blue Fluorite)
    S:oredict.blockDustBlueJasper.name=Блок пыли (Blue Jasper)
    S:oredict.blockDustBlueMahoe.name=Блок опилок (Blue Mahoe)
    S:oredict.blockDustBluePhosphorus.name=Блок пыли (Blue Phosphorus)
    S:oredict.blockDustBlueSapphire.name=Блок пыли (Blue Sapphire)
    S:oredict.blockDustBlueSpruce.name=Блок опилок (Blue Spruce)
    S:oredict.blockDustBlueSteel.name=Блок пыли (Blue Steel)
    S:oredict.blockDustBlueTopaz.name=Блок пыли (Blue Topaz)
    S:oredict.blockDustBlueschist.name=Блок пыли (Blue Schist)
    S:oredict.blockDustBluestone.name=Блок пыли (Bluestone)
    S:oredict.blockDustBlutonium.name=Блок пыли (Blutonium)
    S:oredict.blockDustBohrium.name=Блок пыли (Bohrium)
    S:oredict.blockDustBone.name=Блок костной муки
    S:oredict.blockDustBorax.name=Блок пыли (Borax)
    S:oredict.blockDustBoron.name=Блок пыли (Boron)
    S:oredict.blockDustBoron11.name=Блок пыли (Boron-11)
    S:oredict.blockDustBoxwood.name=Блок опилок (Boxwood)
    S:oredict.blockDustBrass.name=Блок пыли (Brass)
    S:oredict.blockDustBrazilwood.name=Блок опилок (Brazilwood)
    S:oredict.blockDustBromargyrite.name=Блок пыли (Bromargyrite)
    S:oredict.blockDustBronze.name=Блок пыли (Bronze)
    S:oredict.blockDustBrown.name=Блок красителя (Коричневый)
    S:oredict.blockDustBrownAventurine.name=Блок пыли (Brown Aventurine)
    S:oredict.blockDustBrownLimonite.name=Блок пыли (Brown Limonite)
    S:oredict.blockDustButternutwood.name=Блок опилок (Butternutwood)
    S:oredict.blockDustCadmium.name=Блок пыли (Cadmium)
    S:oredict.blockDustCaesium.name=Блок пыли (Caesium)
    S:oredict.blockDustCalcite.name=Блок пыли (Calcite)
    S:oredict.blockDustCalcium.name=Блок пыли (Calcium)
    S:oredict.blockDustCalciumChloride.name=Блок пыли (Calcium Chloride)
    S:oredict.blockDustCalciumSulfate.name=Блок пыли (Calcium Sulfate)
    S:oredict.blockDustCalifornium.name=Блок пыли (Californium)
    S:oredict.blockDustCarbon.name=Блок пыли (Carbon)
    S:oredict.blockDustCarbon13.name=Блок пыли (Carbon-13)
    S:oredict.blockDustCarbon14.name=Блок пыли (Carbon-14)
    S:oredict.blockDustCarborundum.name=Блок пыли (Carborundum)
    S:oredict.blockDustCarmot.name=Блок пыли (Carmot)
    S:oredict.blockDustCassiterite.name=Блок пыли (Cassiterite)
    S:oredict.blockDustCatsEye.name=Блок пыли (Cat's Eye)
    S:oredict.blockDustCdInAgAlloy.name=Блок пыли (Cd-In-Ag-Alloy)
    S:oredict.blockDustCedar.name=Блок опилок (Cedar)
    S:oredict.blockDustCelenegil.name=Блок пыли (Celenegil)
    S:oredict.blockDustCelestine.name=Блок пыли (Celestine)
    S:oredict.blockDustCeramic.name=Блок порошка (Dry Clay)
    S:oredict.blockDustCerium.name=Блок пыли (Cerium)
    S:oredict.blockDustCertusQuartz.name=Блок пыли (Certus Quartz)
    S:oredict.blockDustCeruclase.name=Блок пыли (Ceruclase)
    S:oredict.blockDustChalcopyrite.name=Блок пыли (Chalcopyrite)
    S:oredict.blockDustChalk.name=Блок пыли (Chalk)
    S:oredict.blockDustCharcoal.name=Блок пыли (Charcoal)
    S:oredict.blockDustChargedCertusQuartz.name=Блок пыли (Charged Certus Quartz)
    S:oredict.blockDustCheese.name=Блок порошка (Сыр)
    S:oredict.blockDustCherrywood.name=Блок опилок (Cherrywood)
    S:oredict.blockDustChert.name=Блок пыли (Chert)
    S:oredict.blockDustChestnutwood.name=Блок опилок (Chestnutwood)
    S:oredict.blockDustChili.name=Блок порошка (Чили)
    S:oredict.blockDustChimerite.name=Блок пыли (Chimerite)
    S:oredict.blockDustChocolate.name=Блок порошка (Шоколад)
    S:oredict.blockDustChromite.name=Блок пыли (Chromite)
    S:oredict.blockDustChromium.name=Блок пыли (Chromium)
    S:oredict.blockDustChromiumDioxide.name=Блок пыли (Chromium Dioxide)
    S:oredict.blockDustCinnabar.name=Блок пыли (Cinnabar)
    S:oredict.blockDustCinnamon.name=Блок молотой корицы
    S:oredict.blockDustCinnamonwood.name=Блок опилок (Cinnamon)
    S:oredict.blockDustCitruswood.name=Блок опилок (Citruswood)
    S:oredict.blockDustClay.name=Блок порошка (Глина)
    S:oredict.blockDustClayBrown.name=Блок порошка (Коричневая глина)
    S:oredict.blockDustClayCompound.name=Блок пыли (Clay Compound)
    S:oredict.blockDustClayRed.name=Блок порошка (Красная глина)
    S:oredict.blockDustCoal.name=Блок пыли (Coal)
    S:oredict.blockDustCoalCoke.name=Блок пыли (Coal Coke)
    S:oredict.blockDustCobalt.name=Блок пыли (Cobalt)
    S:oredict.blockDustCobalt60.name=Блок пыли (Cobalt-60)
    S:oredict.blockDustCobaltBrass.name=Блок пыли (Cobalt Brass)
    S:oredict.blockDustCobaltHexahydrate.name=Блок пыли (Cobalt Hexahydrate)
    S:oredict.blockDustCobaltite.name=Блок пыли (Cobaltite)
    S:oredict.blockDustCocoa.name=Блок порошка (Кокос)
    S:oredict.blockDustCocobolowood.name=Блок опилок (Cocobolowood)
    S:oredict.blockDustCoconutwood.name=Блок опилок (Coconut)
    S:oredict.blockDustCoffee.name=Блок порошка (Кофе)
    S:oredict.blockDustColtan.name=Блок пыли (Coltan)
    S:oredict.blockDustColumbite.name=Блок пыли (Columbite)
    S:oredict.blockDustConcrete.name=Блок пыли (Concrete)
    S:oredict.blockDustConductiveIron.name=Блок пыли (Conductive Iron)
    S:oredict.blockDustConstantan.name=Блок пыли (Constantan)
    S:oredict.blockDustConstructionFoam.name=Блок порошка (С-Пена)
    S:oredict.blockDustContinuum.name=Блок пыли (Continuum)
    S:oredict.blockDustCooperite.name=Блок пыли (Sheldonite)
    S:oredict.blockDustCopernicium.name=Блок пыли (Copernicium)
    S:oredict.blockDustCopper.name=Блок пыли (Copper)
    S:oredict.blockDustCoralium.name=Блок пыли (Coralium)
    S:oredict.blockDustCorn.name=Блок кукурузной муки
    S:oredict.blockDustCosmicNeutronium.name=Блок пыли (Cosmic Neutronium)
    S:oredict.blockDustCraponite.name=Блок Флавуорита
    S:oredict.blockDustCrimsonMiddle.name=Блок пыли (Crimson Middle)
    S:oredict.blockDustCrimsonwood.name=Блок опилок (Crimsonwood)
    S:oredict.blockDustCrudeOil.name=Блок пыли (Crude Oil)
    S:oredict.blockDustCryolite.name=Блок пыли (Cryolite)
    S:oredict.blockDustCryotheum.name=Блок пыли (Cryotheum)
    S:oredict.blockDustCrystalMatrix.name=Блок пыли (Crystal Matrix)
    S:oredict.blockDustCrystallineAlloy.name=Блок пыли (Crystalline Alloy)
    S:oredict.blockDustCrystallinePinkSlime.name=Блок пыли (Crystalline Pink Slime)
    S:oredict.blockDustCurium.name=Блок пыли (Curium)
    S:oredict.blockDustCurry.name=Блок порошка (Карри)
    S:oredict.blockDustCyan.name=Блок красителя (Бирюзовый)
    S:oredict.blockDustCyanite.name=Блок пыли (Cyanite)
    S:oredict.blockDustCypress.name=Блок опилок (Cypress)
    S:oredict.blockDustDacite.name=Блок пыли (Dacite)
    S:oredict.blockDustDamascusSteel.name=Блок пыли (Damascus Steel)
    S:oredict.blockDustDarkAshes.name=Бок пепла (Темный)
    S:oredict.blockDustDarkIron.name=Блок пыли (Dark Iron)
    S:oredict.blockDustDarkMatter.name=Блок пыли (Dark Matter)
    S:oredict.blockDustDarkOak.name=Блок опилок (Dark Oak)
    S:oredict.blockDustDarkThaumium.name=Блок пыли (Dark Thaumium)
    S:oredict.blockDustDarkwood.name=Блок опилок (Darkwood)
    S:oredict.blockDustDarmstadtium.name=Блок пыли (Darmstadtium)
    S:oredict.blockDustDatolite.name=Блок пыли (Datolite)
    S:oredict.blockDustDeadrock.name=Блок пыли (Deadrock)
    S:oredict.blockDustDeepIron.name=Блок пыли (Deep Iron)
    S:oredict.blockDustDeepslate.name=Блок пыли (Deepslate)
    S:oredict.blockDustDesh.name=Блок пыли (Desh)
    S:oredict.blockDustDesichalkos.name=Блок пыли (Desichalkos)
    S:oredict.blockDustDiamantine.name=Блок пыли (Diamantine)
    S:oredict.blockDustDiamond.name=Блок пыли (Diamond)
    S:oredict.blockDustDiamondIndustrial.name=Блок пыли (Industrial Diamond)
    S:oredict.blockDustDiatomite.name=Блок пыли (Diatomite)
    S:oredict.blockDustDiduraniumTrioxide.name=Блок пыли (Diduranium Trioxide)
    S:oredict.blockDustDilithium.name=Блок пыли (Dilithium)
    S:oredict.blockDustDioptase.name=Блок пыли (Dioptase)
    S:oredict.blockDustDiorite.name=Блок пыли (Diorite)
    S:oredict.blockDustDolamide.name=Блок пыли (Dolamide)
    S:oredict.blockDustDolomite.name=Блок пыли (Dolomite)
    S:oredict.blockDustDominicanAmber.name=Блок пыли (Dominican Amber)
    S:oredict.blockDustDouglasFir.name=Блок опилок (Douglas Fir)
    S:oredict.blockDustDraconium.name=Блок пыли (Draconium)
    S:oredict.blockDustDraconiumAwakened.name=Блок пыли (Awakened Draconium)
    S:oredict.blockDustDragonEye.name=Блок пыли (Dragon Eye)
    S:oredict.blockDustDreadium.name=Блок пыли (Dreadium)
    S:oredict.blockDustDreamwood.name=Блок опилок (Dreamwood)
    S:oredict.blockDustDubnium.name=Блок пыли (Dubnium)
    S:oredict.blockDustDuralumin.name=Блок пыли (Duralumin)
    S:oredict.blockDustDuranium.name=Блок пыли (Duranium Alloy)
    S:oredict.blockDustDuraniumElemental.name=Блок пыли (Elemental Duranium)
    S:oredict.blockDustDuraniumHexaastatide.name=Блок пыли (Duranium Hexaastatide)
    S:oredict.blockDustDuraniumHexabromide.name=Блок пыли (Duranium Hexabromide)
    S:oredict.blockDustDuraniumHexachloride.name=Блок пыли (Duranium Hexachloride)
    S:oredict.blockDustDuraniumHexafluoride.name=Блок пыли (Duranium Hexafluoride)
    S:oredict.blockDustDuraniumHexaiodide.name=Блок пыли (Duranium Hexaiodide)
    S:oredict.blockDustDynamite.name=Блок пыли (Dynamite)
    S:oredict.blockDustDysprosium.name=Блок пыли (Dysprosium)
    S:oredict.blockDustEbony.name=Блок опилок (Ebony)
    S:oredict.blockDustEclogite.name=Блок пыли (Eclogite)
    S:oredict.blockDustEctoplasm.name=Блок эктоплазмы
    S:oredict.blockDustEfrine.name=Блок пыли (Efrine)
    S:oredict.blockDustEinsteinium.name=Блок пыли (Einsteinium)
    S:oredict.blockDustElderwood.name=Блок опилок (Elderwood)
    S:oredict.blockDustElectricalSteel.name=Блок пыли (Electrical Steel)
    S:oredict.blockDustElectrotineAlloy.name=Блок пыли (Electrotine Alloy)
    S:oredict.blockDustElectrum.name=Блок пыли (Electrum)
    S:oredict.blockDustElectrumFlux.name=Блок пыли (Electrum Flux)
    S:oredict.blockDustElm.name=Блок опилок (Elm)
    S:oredict.blockDustElvenDragonstone.name=Блок пыли (Dragonstone)
    S:oredict.blockDustElvenElementium.name=Блок пыли (Elementium)
    S:oredict.blockDustElvenQuartz.name=Блок пыли (Elven Quartz)
    S:oredict.blockDustElvorium.name=Блок пыли (Elvorium)
    S:oredict.blockDustEmeradic.name=Блок пыли (Emeradic)
    S:oredict.blockDustEmerald.name=Блок пыли (Emerald)
    S:oredict.blockDustEmery.name=Блок пыли (Emery)
    S:oredict.blockDustEmpty.name=Блок пыли (Empty)
    S:oredict.blockDustEndSand.name=Блок песка Края
    S:oredict.blockDustEndSteel.name=Блок пыли (End Steel)
