    S:oredict.crateGt64DustAbyssalOat.name=Ящик абиссального овса
    S:oredict.crateGt64DustAntiBeryllium.name=Ящик пыли (Anti-Beryllium)
    S:oredict.crateGt64DustAntiBismuth.name=Ящик пыли (Anti-Bismuth)
    S:oredict.crateGt64DustAntiBohrium.name=Ящик пыли (Anti-Bohrium)
    S:oredict.crateGt64DustAntiBoron.name=Ящик пыли (Anti-Boron)
    S:oredict.crateGt64DustAntiBromine.name=Ящик пыли (Anti-Bromine)
    S:oredict.crateGt64DustAntiCadmium.name=Ящик пыли (Anti-Cadmium)
    S:oredict.crateGt64DustAntiCaesium.name=Ящик пыли (Anti-Caesium)
    S:oredict.crateGt64DustAntiCalcium.name=Ящик пыли (Anti-Calcium)
    S:oredict.crateGt64DustAntiCalifornium.name=Ящик пыли (Anti-Californium)
    S:oredict.crateGt64DustAntiCarbon.name=Ящик пыли (Anti-Carbon)
    S:oredict.crateGt64DustAntiCarbon13.name=Ящик пыли (Anti-Carbon-13)
    S:oredict.crateGt64DustAntiCarbon14.name=Ящик пыли (Anti-Carbon-14)
    S:oredict.crateGt64DustAntiCerium.name=Ящик пыли (Anti-Cerium)
    S:oredict.crateGt64DustAntiChlorine.name=Ящик пыли (Anti-Chlorine)
    S:oredict.crateGt64DustAntiChromium.name=Ящик пыли (Anti-Chromium)
    S:oredict.crateGt64DustAntiCobalt.name=Ящик пыли (Anti-Cobalt)
    S:oredict.crateGt64DustAntiCobalt60.name=Ящик пыли (Anti-Cobalt-60)
    S:oredict.crateGt64DustAntiCopernicium.name=Ящик пыли (Anti-Copernicium)
    S:oredict.crateGt64DustAntiCopper.name=Ящик пыли (Anti-Copper)
    S:oredict.crateGt64DustAntiCurium.name=Ящик пыли (Anti-Curium)
    S:oredict.crateGt64DustAntiDarmstadtium.name=Ящик пыли (Anti-Darmstadtium)
    S:oredict.crateGt64DustAntiDubnium.name=Ящик пыли (Anti-Dubnium)
    S:oredict.crateGt64DustAntiDysprosium.name=Ящик пыли (Anti-Dysprosium)
    S:oredict.crateGt64DustAntiEinsteinium.name=Ящик пыли (Anti-Einsteinium)
    S:oredict.crateGt64DustAntiErbium.name=Ящик пыли (Anti-Erbium)
    S:oredict.crateGt64DustAntiEuropium.name=Ящик пыли (Anti-Europium)
    S:oredict.crateGt64DustAntiFarnsium.name=Ящик пыли (Anti-Farnsium)
    S:oredict.crateGt64DustAntiFermium.name=Ящик пыли (Anti-Fermium)
    S:oredict.crateGt64DustAntiFlerovium.name=Ящик пыли (Anti-Flerovium)
    S:oredict.crateGt64DustAntiFlerovium298.name=Ящик пыли (Anti-Flerovium-298)
    S:oredict.crateGt64DustAntiFluorine.name=Ящик пыли (Anti-Fluorine)
    S:oredict.crateGt64DustAntiFrancium.name=Ящик пыли (Anti-Francium)
    S:oredict.crateGt64DustAntiGadolinium.name=Ящик пыли (Anti-Gadolinium)
    S:oredict.crateGt64DustAntiGallium.name=Ящик пыли (Anti-Gallium)
    S:oredict.crateGt64DustAntiGermanium.name=Ящик пыли (Anti-Germanium)
    S:oredict.crateGt64DustAntiGold.name=Ящик пыли (Anti-Gold)
    S:oredict.crateGt64DustAntiHafnium.name=Ящик пыли (Anti-Hafnium)
    S:oredict.crateGt64DustAntiHassium.name=Ящик пыли (Anti-Hassium)
    S:oredict.crateGt64DustAntiHolmium.name=Ящик пыли (Anti-Holmium)
    S:oredict.crateGt64DustAntiIndium.name=Ящик пыли (Anti-Indium)
    S:oredict.crateGt64DustAntiIodine.name=Ящик пыли (Anti-Iodine)
    S:oredict.crateGt64DustAntiIridium.name=Ящик пыли (Anti-Iridium)
    S:oredict.crateGt64DustAntiIron.name=Ящик пыли (Anti-Iron)
    S:oredict.crateGt64DustAntiLanthanum.name=Ящик пыли (Anti-Lanthanum)
    S:oredict.crateGt64DustAntiLawrencium.name=Ящик пыли (Anti-Lawrencium)
    S:oredict.crateGt64DustAntiLead.name=Ящик пыли (Anti-Lead)
    S:oredict.crateGt64DustAntiLithium.name=Ящик пыли (Anti-Lithium)
    S:oredict.crateGt64DustAntiLithium6.name=Ящик пыли (Anti-Lithium-6)
    S:oredict.crateGt64DustAntiLivermorium.name=Ящик пыли (Anti-Livermorium)
    S:oredict.crateGt64DustAntiLutetium.name=Ящик пыли (Anti-Lutetium)
    S:oredict.crateGt64DustAntiMagnesium.name=Ящик пыли (Anti-Magnesium)
    S:oredict.crateGt64DustAntiManganese.name=Ящик пыли (Anti-Manganese)
    S:oredict.crateGt64DustAntiMeitnerium.name=Ящик пыли (Anti-Meitnerium)
    S:oredict.crateGt64DustAntiMendelevium.name=Ящик пыли (Anti-Mendelevium)
    S:oredict.crateGt64DustAntiMercury.name=Ящик пыли (Anti-Mercury)
    S:oredict.crateGt64DustAntiMolybdenum.name=Ящик пыли (Anti-Molybdenum)
    S:oredict.crateGt64DustAntiNaquadah.name=Ящик пыли (Anti-Naquadah)
    S:oredict.crateGt64DustAntiNaquadahEnriched.name=Ящик пыли (Enriched Anti-Naquadah)
    S:oredict.crateGt64DustAntiNaquadria.name=Ящик пыли (Anti-Naquadria)
    S:oredict.crateGt64DustAntiNeodymium.name=Ящик пыли (Anti-Neodymium)
    S:oredict.crateGt64DustAntiNeptunium.name=Ящик пыли (Anti-Neptunium)
    S:oredict.crateGt64DustAntiNickel.name=Ящик пыли (Anti-Nickel)
    S:oredict.crateGt64DustAntiNiobium.name=Ящик пыли (Anti-Niobium)
    S:oredict.crateGt64DustAntiNobelium.name=Ящик пыли (Anti-Nobelium)
    S:oredict.crateGt64DustAntiOsmium.name=Ящик пыли (Anti-Osmium)
    S:oredict.crateGt64DustAntiPalladium.name=Ящик пыли (Anti-Palladium)
    S:oredict.crateGt64DustAntiPhosphor.name=Ящик пыли (Anti-Phosphor)
    S:oredict.crateGt64DustAntiPlatinum.name=Ящик пыли (Anti-Platinum)
    S:oredict.crateGt64DustAntiPlutonium.name=Ящик пыли (Anti-Plutonium)
    S:oredict.crateGt64DustAntiPlutonium241.name=Ящик пыли (Anti-Plutonium-241)
    S:oredict.crateGt64DustAntiPlutonium243.name=Ящик пыли (Anti-Plutonium-243)
    S:oredict.crateGt64DustAntiPolonium.name=Ящик пыли (Anti-Polonium)
    S:oredict.crateGt64DustAntiPotassium.name=Ящик пыли (Anti-Potassium)
    S:oredict.crateGt64DustAntiPraseodymium.name=Ящик пыли (Anti-Praseodymium)
    S:oredict.crateGt64DustAntiPromethium.name=Ящик пыли (Anti-Promethium)
    S:oredict.crateGt64DustAntiProtactinium.name=Ящик пыли (Anti-Protactinium)
    S:oredict.crateGt64DustAntiRadium.name=Ящик пыли (Anti-Radium)
    S:oredict.crateGt64DustAntiRhenium.name=Ящик пыли (Anti-Rhenium)
    S:oredict.crateGt64DustAntiRhodium.name=Ящик пыли (Anti-Rhodium)
    S:oredict.crateGt64DustAntiRoentgenium.name=Ящик пыли (Anti-Roentgenium)
    S:oredict.crateGt64DustAntiRubidium.name=Ящик пыли (Anti-Rubidium)
    S:oredict.crateGt64DustAntiRuthenium.name=Ящик пыли (Anti-Ruthenium)
    S:oredict.crateGt64DustAntiRutherfordium.name=Ящик пыли (Anti-Rutherfordium)
    S:oredict.crateGt64DustAntiSamarium.name=Ящик пыли (Anti-Samarium)
    S:oredict.crateGt64DustAntiScandium.name=Ящик пыли (Anti-Scandium)
    S:oredict.crateGt64DustAntiSeaborgium.name=Ящик пыли (Anti-Seaborgium)
    S:oredict.crateGt64DustAntiSelenium.name=Ящик пыли (Anti-Selenium)
    S:oredict.crateGt64DustAntiSilicon.name=Ящик пыли (Anti-Silicon)
    S:oredict.crateGt64DustAntiSilver.name=Ящик пыли (Anti-Silver)
    S:oredict.crateGt64DustAntiSodium.name=Ящик пыли (Anti-Sodium)
    S:oredict.crateGt64DustAntiStrontium.name=Ящик пыли (Anti-Strontium)
    S:oredict.crateGt64DustAntiSulfur.name=Ящик пыли (Anti-Sulfur)
    S:oredict.crateGt64DustAntiTantalum.name=Ящик пыли (Anti-Tantalum)
    S:oredict.crateGt64DustAntiTechnetium.name=Ящик пыли (Anti-Technetium)
    S:oredict.crateGt64DustAntiTellurium.name=Ящик пыли (Anti-Tellurium)
    S:oredict.crateGt64DustAntiTerbium.name=Ящик пыли (Anti-Terbium)
    S:oredict.crateGt64DustAntiThallium.name=Ящик пыли (Anti-Thallium)
    S:oredict.crateGt64DustAntiThorium.name=Ящик пыли (Anti-Thorium)
    S:oredict.crateGt64DustAntiThulium.name=Ящик пыли (Anti-Thulium)
    S:oredict.crateGt64DustAntiTin.name=Ящик пыли (Anti-Tin)
    S:oredict.crateGt64DustAntiTitanium.name=Ящик пыли (Anti-Titanium)
    S:oredict.crateGt64DustAntiTungsten.name=Ящик пыли (Anti-Tungsten)
    S:oredict.crateGt64DustAntiUnbinilium.name=Ящик пыли (Anti-Unbinilium)
    S:oredict.crateGt64DustAntiUnunennium.name=Ящик пыли (Anti-Ununennium)
    S:oredict.crateGt64DustAntiUnunoctium.name=Ящик пыли (Anti-Ununoctium)
    S:oredict.crateGt64DustAntiUnunpentium.name=Ящик пыли (Anti-Ununpentium)
    S:oredict.crateGt64DustAntiUnuntrium.name=Ящик пыли (Anti-Ununtrium)
    S:oredict.crateGt64DustAntiUranium.name=Ящик пыли (Anti-Uranium)
    S:oredict.crateGt64DustAntiUranium235.name=Ящик пыли (Anti-Uranium-235)
    S:oredict.crateGt64DustAntiVanadium.name=Ящик пыли (Anti-Vanadium)
    S:oredict.crateGt64DustAntiVibranium.name=Ящик пыли (Anti-Vibranium)
    S:oredict.crateGt64DustAntiYtterbium.name=Ящик пыли (Anti-Ytterbium)
    S:oredict.crateGt64DustAntiYttrium.name=Ящик пыли (Anti-Yttrium)
    S:oredict.crateGt64DustAntiZinc.name=Ящик пыли (Anti-Zinc)
    S:oredict.crateGt64DustAntiZirconium.name=Ящик пыли (Anti-Zirconium)
    S:oredict.crateGt64DustAntimony.name=Ящик пыли (Antimony)
    S:oredict.crateGt64DustApatite.name=Ящик пыли (Apatite)
    S:oredict.crateGt64DustApplewood.name=Ящик опилок (Applewood)
    S:oredict.crateGt64DustAquaMiddle.name=Ящик пыли (Aqua Middle)
    S:oredict.crateGt64DustAquamarine.name=Ящик пыли (Aquamarine)
    S:oredict.crateGt64DustArcaneAshes.name=Ящик пепла (Arcane)
    S:oredict.crateGt64DustArcaneCompound.name=Ящик смеси (Arcane)
    S:oredict.crateGt64DustArdite.name=Ящик пыли (Ardite)
    S:oredict.crateGt64DustAredrite.name=Ящик пыли (Aredrite)
    S:oredict.crateGt64DustArsenic.name=Ящик пыли (Arsenic)
    S:oredict.crateGt64DustArsenopyrite.name=Ящик пыли (Arsenopyrite)
    S:oredict.crateGt64DustAsbestos.name=Ящик пыли (Asbestos)
    S:oredict.crateGt64DustAshes.name=Ящик пепла
    S:oredict.crateGt64DustAshwood.name=Ящик опилок (Ashwood)
    S:oredict.crateGt64DustAspen.name=Ящик опилок (Aspen)
    S:oredict.crateGt64DustAsphalt.name=Ящик асфальта
    S:oredict.crateGt64DustAstatine.name=Ящик пыли (Astatine)
    S:oredict.crateGt64DustAstralSilver.name=Ящик пыли (Astral Silver)
    S:oredict.crateGt64DustAtlarus.name=Ящик пыли (Atlarus)
    S:oredict.crateGt64DustAutumnwood.name=Ящик опилок (Autumn Wood)
    S:oredict.crateGt64DustAzurite.name=Ящик пыли (Azurite)
    S:oredict.crateGt64DustBalasRuby.name=Ящик пыли (Ruby)
    S:oredict.crateGt64DustBalsa.name=Ящик опилок (Balsa)
    S:oredict.crateGt64DustBamboo.name=Ящик опилок (Bamboo)
    S:oredict.crateGt64DustBaobab.name=Ящик опилок (Baobab)
    S:oredict.crateGt64DustBarite.name=Ящик пыли (Barite)
    S:oredict.crateGt64DustBarium.name=Ящик пыли (Barium)
    S:oredict.crateGt64DustBark.name=Ящик опилок (Tree Bark)
    S:oredict.crateGt64DustBarley.name=Ящик мука (Barley)
    S:oredict.crateGt64DustBasalt.name=Ящик пыли (Basalt)
    S:oredict.crateGt64DustBasalticMineralSand.name=Ящик песка (Basaltic Mineral)
    S:oredict.crateGt64DustBasalz.name=Ящик порошка (Basalz)
    S:oredict.crateGt64DustBastnasite.name=Ящик пыли (Bastnasite)
    S:oredict.crateGt64DustBatteryAlloy.name=Ящик пыли (Battery Alloy)
    S:oredict.crateGt64DustBauxite.name=Ящик пыли (Bauxite)
    S:oredict.crateGt64DustBedrock.name=Ящик пыли (Bedrock)
    S:oredict.crateGt64DustBedrockHSLAAlloy.name=Ящик пыли (Bedrock-HSLA-Alloy)
    S:oredict.crateGt64DustBedrockium.name=Ящик пыли (Bedrockium)
    S:oredict.crateGt64DustBeech.name=Ящик опилок (Beech)
    S:oredict.crateGt64DustBentonite.name=Ящик порошка (Bentonite Clay)
    S:oredict.crateGt64DustBerkelium.name=Ящик пыли (Berkelium)
    S:oredict.crateGt64DustBeryllium.name=Ящик пыли (Beryllium)
    S:oredict.crateGt64DustBeryllium7.name=Ящик пыли (Beryllium-7)
    S:oredict.crateGt64DustBeryllium8.name=Ящик пыли (Beryllium-8)
    S:oredict.crateGt64DustBetweenstone.name=Ящик пыли (Betweenstone)
    S:oredict.crateGt64DustBiotite.name=Ящик пыли (Biotite)
    S:oredict.crateGt64DustBirch.name=Ящик опилок (Birch)
    S:oredict.crateGt64DustBischofite.name=Ящик пыли (Bischofite)
    S:oredict.crateGt64DustBismuth.name=Ящик пыли (Bismuth)
    S:oredict.crateGt64DustBismuthBronze.name=Ящик пыли (Bismuth Bronze)
    S:oredict.crateGt64DustBixbite.name=Ящик пыли (Bixbite)
    S:oredict.crateGt64DustBlack.name=Ящик красителя (Black)
    S:oredict.crateGt64DustBlackAventurine.name=Ящик пыли (Black Aventurine)
    S:oredict.crateGt64DustBlackBronze.name=Ящик пыли (Black Bronze)
    S:oredict.crateGt64DustBlackEye.name=Ящик пыли (Black Eye)
    S:oredict.crateGt64DustBlackFluorite.name=Ящик пыли (Black Fluorite)
    S:oredict.crateGt64DustBlackSteel.name=Ящик пыли (Black Steel)
    S:oredict.crateGt64DustBlackstone.name=Ящик пыли (Blackstone)
    S:oredict.crateGt64DustBlaze.name=Ящик порошка (Blaze)
    S:oredict.crateGt64DustBlazeQuartz.name=Ящик пыли (Blaze Quartz)
    S:oredict.crateGt64DustBlitz.name=Ящик порошка (Blitz)
    S:oredict.crateGt64DustBlizz.name=Ящик порошка (Blizz)
    S:oredict.crateGt64DustBlue.name=Ящик красителя (Blue)
    S:oredict.crateGt64DustBlueAlloy.name=Ящик пыли (Blue Alloy)
    S:oredict.crateGt64DustBlueAventurine.name=Ящик пыли (Blue Aventurine)
    S:oredict.crateGt64DustBlueFluorite.name=Ящик пыли (Blue Fluorite)
    S:oredict.crateGt64DustBlueJasper.name=Ящик пыли (Blue Jasper)
    S:oredict.crateGt64DustBlueMahoe.name=Ящик опилок (Blue Mahoe)
    S:oredict.crateGt64DustBluePhosphorus.name=Ящик пыли (Blue Phosphorus)
    S:oredict.crateGt64DustBlueSapphire.name=Ящик пыли (Blue Sapphire)
    S:oredict.crateGt64DustBlueSpruce.name=Ящик опилок (Blue Spruce)
    S:oredict.crateGt64DustBlueSteel.name=Ящик пыли (Blue Steel)
    S:oredict.crateGt64DustBlueTopaz.name=Ящик пыли (Blue Topaz)
    S:oredict.crateGt64DustBlueschist.name=Ящик пыли (Blue Schist)
    S:oredict.crateGt64DustBluestone.name=Ящик пыли (Bluestone)
    S:oredict.crateGt64DustBlutonium.name=Ящик пыли (Blutonium)
    S:oredict.crateGt64DustBohrium.name=Ящик пыли (Bohrium)
    S:oredict.crateGt64DustBone.name=Ящик костной муки
    S:oredict.crateGt64DustBorax.name=Ящик пыли (Borax)
    S:oredict.crateGt64DustBoron.name=Ящик пыли (Boron)
    S:oredict.crateGt64DustBoron11.name=Ящик пыли (Boron-11)
    S:oredict.crateGt64DustBoxwood.name=Ящик опилок (Boxwood)
    S:oredict.crateGt64DustBrass.name=Ящик пыли (Brass)
    S:oredict.crateGt64DustBrazilwood.name=Ящик опилок (Brazilwood)
    S:oredict.crateGt64DustBromargyrite.name=Ящик пыли (Bromargyrite)
    S:oredict.crateGt64DustBronze.name=Ящик пыли (Bronze)
    S:oredict.crateGt64DustBrown.name=Ящик красителя (Brown)
    S:oredict.crateGt64DustBrownAventurine.name=Ящик пыли (Brown Aventurine)
    S:oredict.crateGt64DustBrownLimonite.name=Ящик пыли (Brown Limonite)
    S:oredict.crateGt64DustButternutwood.name=Ящик опилок (Butternutwood)
    S:oredict.crateGt64DustCadmium.name=Ящик пыли (Cadmium)
    S:oredict.crateGt64DustCaesium.name=Ящик пыли (Caesium)
    S:oredict.crateGt64DustCalcite.name=Ящик пыли (Calcite)
    S:oredict.crateGt64DustCalcium.name=Ящик пыли (Calcium)
    S:oredict.crateGt64DustCalciumChloride.name=Ящик пыли (Calcium Chloride)
    S:oredict.crateGt64DustCalciumSulfate.name=Ящик пыли (Calcium Sulfate)
    S:oredict.crateGt64DustCalifornium.name=Ящик пыли (Californium)
    S:oredict.crateGt64DustCarbon.name=Ящик пыли (Carbon)
    S:oredict.crateGt64DustCarbon13.name=Ящик пыли (Carbon-13)
    S:oredict.crateGt64DustCarbon14.name=Ящик пыли (Carbon-14)
    S:oredict.crateGt64DustCarborundum.name=Ящик пыли (Carborundum)
    S:oredict.crateGt64DustCarmot.name=Ящик пыли (Carmot)
    S:oredict.crateGt64DustCassiterite.name=Ящик пыли (Cassiterite)
    S:oredict.crateGt64DustCatsEye.name=Ящик пыли (Cat's Eye)
    S:oredict.crateGt64DustCdInAgAlloy.name=Ящик пыли (Cd-In-Ag-Alloy)
    S:oredict.crateGt64DustCedar.name=Ящик опилок (Cedar)
    S:oredict.crateGt64DustCelenegil.name=Ящик пыли (Celenegil)
    S:oredict.crateGt64DustCelestine.name=Ящик пыли (Celestine)
    S:oredict.crateGt64DustCeramic.name=Ящик порошка (Dry Clay)
    S:oredict.crateGt64DustCerium.name=Ящик пыли (Cerium)
    S:oredict.crateGt64DustCertusQuartz.name=Ящик пыли (Certus Quartz)
    S:oredict.crateGt64DustCeruclase.name=Ящик пыли (Ceruclase)
    S:oredict.crateGt64DustChalcopyrite.name=Ящик пыли (Chalcopyrite)
    S:oredict.crateGt64DustChalk.name=Ящик пыли (Chalk)
    S:oredict.crateGt64DustCharcoal.name=Ящик пыли (Charcoal)
    S:oredict.crateGt64DustChargedCertusQuartz.name=Ящик пыли (Charged Certus Quartz)
    S:oredict.crateGt64DustCheese.name=Ящик порошка (Cheese)
    S:oredict.crateGt64DustCherrywood.name=Ящик опилок (Cherrywood)
    S:oredict.crateGt64DustChert.name=Ящик пыли (Chert)
    S:oredict.crateGt64DustChestnutwood.name=Ящик опилок (Chestnutwood)
    S:oredict.crateGt64DustChili.name=Ящик порошка (Chili)
    S:oredict.crateGt64DustChimerite.name=Ящик пыли (Chimerite)
    S:oredict.crateGt64DustChocolate.name=Ящик порошка (Chocolate)
    S:oredict.crateGt64DustChromite.name=Ящик пыли (Chromite)
    S:oredict.crateGt64DustChromium.name=Ящик пыли (Chromium)
    S:oredict.crateGt64DustChromiumDioxide.name=Ящик пыли (Chromium Dioxide)
    S:oredict.crateGt64DustCinnabar.name=Ящик пыли (Cinnabar)
    S:oredict.crateGt64DustCinnamon.name=Ящик молотой корицы
    S:oredict.crateGt64DustCinnamonwood.name=Ящик опилок (Cinnamon)
    S:oredict.crateGt64DustCitruswood.name=Ящик опилок (Citruswood)
    S:oredict.crateGt64DustClay.name=Ящик порошка (Clay)
    S:oredict.crateGt64DustClayBrown.name=Ящик порошка (Brown Clay)
    S:oredict.crateGt64DustClayCompound.name=Ящик пыли (Clay Compound)
    S:oredict.crateGt64DustClayRed.name=Ящик порошка (Red Clay)
    S:oredict.crateGt64DustCoal.name=Ящик пыли (Coal)
    S:oredict.crateGt64DustCoalCoke.name=Ящик пыли (Coal Coke)
    S:oredict.crateGt64DustCobalt.name=Ящик пыли (Cobalt)
    S:oredict.crateGt64DustCobalt60.name=Ящик пыли (Cobalt-60)
    S:oredict.crateGt64DustCobaltBrass.name=Ящик пыли (Cobalt Brass)
    S:oredict.crateGt64DustCobaltHexahydrate.name=Ящик пыли (Cobalt Hexahydrate)
    S:oredict.crateGt64DustCobaltite.name=Ящик пыли (Cobaltite)
    S:oredict.crateGt64DustCocoa.name=Ящик порошка (Cocoa)
    S:oredict.crateGt64DustCocobolowood.name=Ящик опилок (Cocobolowood)
    S:oredict.crateGt64DustCoconutwood.name=Ящик опилок (Coconut)
    S:oredict.crateGt64DustCoffee.name=Ящик порошка (Coffee)
    S:oredict.crateGt64DustColtan.name=Ящик пыли (Coltan)
    S:oredict.crateGt64DustColumbite.name=Ящик пыли (Columbite)
    S:oredict.crateGt64DustConcrete.name=Ящик пыли (Concrete)
    S:oredict.crateGt64DustConductiveIron.name=Ящик пыли (Conductive Iron)
    S:oredict.crateGt64DustConstantan.name=Ящик пыли (Constantan)
    S:oredict.crateGt64DustConstructionFoam.name=Ящик порошка (C-Foam)
    S:oredict.crateGt64DustContinuum.name=Ящик пыли (Continuum)
    S:oredict.crateGt64DustCooperite.name=Ящик пыли (Sheldonite)
    S:oredict.crateGt64DustCopernicium.name=Ящик пыли (Copernicium)
    S:oredict.crateGt64DustCopper.name=Ящик пыли (Copper)
    S:oredict.crateGt64DustCoralium.name=Ящик пыли (Coralium)
    S:oredict.crateGt64DustCorn.name=Ящик кукурузной муки
    S:oredict.crateGt64DustCosmicNeutronium.name=Ящик пыли (Cosmic Neutronium)
    S:oredict.crateGt64DustCraponite.name=Ящик пыли (Flavourite)
    S:oredict.crateGt64DustCrimsonMiddle.name=Ящик пыли (Crimson Middle)
    S:oredict.crateGt64DustCrimsonwood.name=Ящик опилок (Crimsonwood)
    S:oredict.crateGt64DustCrudeOil.name=Ящик пыли (Crude Oil)
    S:oredict.crateGt64DustCryolite.name=Ящик пыли (Cryolite)
    S:oredict.crateGt64DustCryotheum.name=Ящик пыли (Cryotheum)
    S:oredict.crateGt64DustCrystalMatrix.name=Ящик пыли (Crystal Matrix)
    S:oredict.crateGt64DustCrystallineAlloy.name=Ящик пыли (Crystalline Alloy)
    S:oredict.crateGt64DustCrystallinePinkSlime.name=Ящик пыли (Crystalline Pink Slime)
    S:oredict.crateGt64DustCurium.name=Ящик пыли (Curium)
    S:oredict.crateGt64DustCurry.name=Ящик порошка (Curry)
    S:oredict.crateGt64DustCyan.name=Ящик красителя (Cyan)
    S:oredict.crateGt64DustCyanite.name=Ящик пыли (Cyanite)
    S:oredict.crateGt64DustCypress.name=Ящик опилок (Cypress)
    S:oredict.crateGt64DustDacite.name=Ящик пыли (Dacite)
    S:oredict.crateGt64DustDamascusSteel.name=Ящик пыли (Damascus Steel)
    S:oredict.crateGt64DustDarkAshes.name=Ящик темного пепла
    S:oredict.crateGt64DustDarkIron.name=Ящик пыли (Dark Iron)
    S:oredict.crateGt64DustDarkMatter.name=Ящик пыли (Dark Matter)
    S:oredict.crateGt64DustDarkOak.name=Ящик опилок (Dark Oak)
    S:oredict.crateGt64DustDarkThaumium.name=Ящик пыли (Dark Thaumium)
    S:oredict.crateGt64DustDarkwood.name=Ящик опилок (Darkwood)
    S:oredict.crateGt64DustDarmstadtium.name=Ящик пыли (Darmstadtium)
    S:oredict.crateGt64DustDatolite.name=Ящик пыли (Datolite)
    S:oredict.crateGt64DustDeadrock.name=Ящик пыли (Deadrock)
    S:oredict.crateGt64DustDeepIron.name=Ящик пыли (Deep Iron)
    S:oredict.crateGt64DustDeepslate.name=Ящик пыли (Deepslate)
    S:oredict.crateGt64DustDesh.name=Ящик пыли (Desh)
    S:oredict.crateGt64DustDesichalkos.name=Ящик пыли (Desichalkos)
    S:oredict.crateGt64DustDiamantine.name=Ящик пыли (Diamantine)
    S:oredict.crateGt64DustDiamond.name=Ящик пыли (Diamond)
    S:oredict.crateGt64DustDiamondIndustrial.name=Ящик пыли (Industrial Diamond)
    S:oredict.crateGt64DustDiatomite.name=Ящик пыли (Diatomite)
    S:oredict.crateGt64DustDiduraniumTrioxide.name=Ящик пыли (Diduranium Trioxide)
    S:oredict.crateGt64DustDilithium.name=Ящик пыли (Dilithium)
    S:oredict.crateGt64DustDioptase.name=Ящик пыли (Dioptase)
