    S:oredict.plateAbyssalnite.name=Пластина (Abyssalnite)
    S:oredict.plateAntiThallium.name=Пластина (Anti-Thallium)
    S:oredict.plateAntiThorium.name=Пластина (Anti-Thorium)
    S:oredict.plateAntiThulium.name=Пластина (Anti-Thulium)
    S:oredict.plateAntiTin.name=Пластина (Anti-Tin)
    S:oredict.plateAntiTitanium.name=Пластина (Anti-Titanium)
    S:oredict.plateAntiTungsten.name=Пластина (Anti-Tungsten)
    S:oredict.plateAntiUnbinilium.name=Пластина (Anti-Unbinilium)
    S:oredict.plateAntiUnunennium.name=Пластина (Anti-Ununennium)
    S:oredict.plateAntiUnunoctium.name=Пластина (Anti-Ununoctium)
    S:oredict.plateAntiUnunpentium.name=Пластина (Anti-Ununpentium)
    S:oredict.plateAntiUnuntrium.name=Пластина (Anti-Ununtrium)
    S:oredict.plateAntiUranium.name=Пластина (Anti-Uranium)
    S:oredict.plateAntiUranium235.name=Пластина (Anti-Uranium-235)
    S:oredict.plateAntiVanadium.name=Пластина (Anti-Vanadium)
    S:oredict.plateAntiYtterbium.name=Пластина (Anti-Ytterbium)
    S:oredict.plateAntiYttrium.name=Пластина (Anti-Yttrium)
    S:oredict.plateAntiZinc.name=Пластина (Anti-Zinc)
    S:oredict.plateAntiZirconium.name=Пластина (Anti-Zirconium)
    S:oredict.plateAntimony.name=Пластина (Antimony)
    S:oredict.plateArdite.name=Пластина (Ardite)
    S:oredict.plateAredrite.name=Пластина (Aredrite)
    S:oredict.plateArsenic.name=Пластина (Arsenic)
    S:oredict.plateAsbestos.name=Пластина (Asbestos)
    S:oredict.plateAstatine.name=Пластина (Astatine)
    S:oredict.plateAstralSilver.name=Пластина (Astral Silver)
    S:oredict.plateAtlarus.name=Пластина (Atlarus)
    S:oredict.plateBarium.name=Пластина (Barium)
    S:oredict.plateBasalt.name=Пластина (Basalt)
    S:oredict.plateBasalz.name=Пластина (Basalz)
    S:oredict.plateBatteryAlloy.name=Пластина (Battery Alloy)
    S:oredict.plateBedrock.name=Пластина (Bedrock)
    S:oredict.plateBedrockHSLAAlloy.name=Пластина (Bedrock-HSLA-Alloy)
    S:oredict.plateBedrockium.name=Пластина (Bedrockium)
    S:oredict.plateBentonite.name=Пластина (Bentonite Clay)
    S:oredict.plateBerkelium.name=Пластина (Berkelium)
    S:oredict.plateBeryllium.name=Пластина (Beryllium)
    S:oredict.plateBeryllium7.name=Пластина (Beryllium-7)
    S:oredict.plateBeryllium8.name=Пластина (Beryllium-8)
    S:oredict.plateBetweenstone.name=Пластина (Betweenstone)
    S:oredict.plateBismuth.name=Пластина (Bismuth)
    S:oredict.plateBismuthBronze.name=Пластина (Bismuth Bronze)
    S:oredict.plateBlackBronze.name=Пластина (Black Bronze)
    S:oredict.plateBlackSteel.name=Пластина (Black Steel)
    S:oredict.plateBlackstone.name=Пластина (Blackstone)
    S:oredict.plateBlaze.name=Пластина (Blaze)
    S:oredict.plateBlitz.name=Пластина (Blitz)
    S:oredict.plateBlizz.name=Пластина (Blizz)
    S:oredict.plateBlueAlloy.name=Пластина (Blue Alloy)
    S:oredict.plateBlueSteel.name=Пластина (Blue Steel)
    S:oredict.plateBlueschist.name=Пластина (Blue Schist)
    S:oredict.plateBluestone.name=Пластина (Bluestone)
    S:oredict.plateBlutonium.name=Пластина (Blutonium)
    S:oredict.plateBohrium.name=Пластина (Bohrium)
    S:oredict.plateBone.name=Пластина (Bone)
    S:oredict.plateBoron.name=Пластина (Boron)
    S:oredict.plateBoron11.name=Пластина (Boron-11)
    S:oredict.plateBrass.name=Пластина (Brass)
    S:oredict.plateBronze.name=Пластина (Bronze)
    S:oredict.plateCadmium.name=Пластина (Cadmium)
    S:oredict.plateCaesium.name=Пластина (Caesium)
    S:oredict.plateCalcium.name=Пластина (Calcium)
    S:oredict.plateCalifornium.name=Пластина (Californium)
    S:oredict.plateCarborundum.name=Пластина (Carborundum)
    S:oredict.plateCarmot.name=Пластина (Carmot)
    S:oredict.plateCastIron.name=Пластина (Cast Iron)
    S:oredict.plateCdInAgAlloy.name=Пластина (Cd-In-Ag-Alloy)
    S:oredict.plateCelenegil.name=Пластина (Celenegil)
    S:oredict.plateCeramic.name=Пластина (Ceramic)
    S:oredict.plateCerium.name=Пластина (Cerium)
    S:oredict.plateCeruclase.name=Пластина (Ceruclase)
    S:oredict.plateCharcoal.name=Пластина (Charcoal)
    S:oredict.plateChert.name=Пластина (Chert)
    S:oredict.plateChromium.name=Пластина (Chromium)
    S:oredict.plateChromiumDioxide.name=Пластина (Chromium Dioxide)
    S:oredict.plateClay.name=Пластина (Clay)
    S:oredict.plateClayBrown.name=Пластина (Brown Clay)
    S:oredict.plateClayCompound.name=Пластина (Clay Compound)
    S:oredict.plateClayRed.name=Пластина (Red Clay)
    S:oredict.plateCoal.name=Пластина (Coal)
    S:oredict.plateCoalCoke.name=Пластина (Coal Coke)
    S:oredict.plateCobalt.name=Пластина (Cobalt)
    S:oredict.plateCobalt60.name=Пластина (Cobalt-60)
    S:oredict.plateCobaltBrass.name=Пластина (Cobalt Brass)
    S:oredict.plateConcrete.name=Пластина (Concrete)
    S:oredict.plateConductiveIron.name=Пластина (Conductive Iron)
    S:oredict.plateConstantan.name=Пластина (Constantan)
    S:oredict.plateCopernicium.name=Пластина (Copernicium)
    S:oredict.plateCopper.name=Пластина (Copper)
    S:oredict.plateCoralium.name=Пластина (Coralium)
    S:oredict.plateCosmicNeutronium.name=Пластина (Cosmic Neutronium)
    S:oredict.plateCrystalMatrix.name=Пластина (Crystal Matrix)
    S:oredict.plateCrystallineAlloy.name=Кристаллическая пластина (Alloy)
    S:oredict.plateCrystallinePinkSlime.name=Кристаллическая пластина (Pink Slime)
    S:oredict.plateCurium.name=Пластина (Curium)
    S:oredict.plateCurvedAbyssalnite.name=Гнутая пластина (Abyssalnite)
    S:oredict.plateCurvedAcacia.name=Гнутая планка (Acacia)
    S:oredict.plateCurvedActinium.name=Гнутая пластина (Actinium)
    S:oredict.plateCurvedAdamantine.name=Гнутая пластина (Adamantine)
    S:oredict.plateCurvedAdamantite.name=Гнутая пластина (Adamantite)
    S:oredict.plateCurvedAdamantium.name=Гнутая пластина (Adamantium)
    S:oredict.plateCurvedAlder.name=Гнутая планка (Alder)
    S:oredict.plateCurvedAlduorite.name=Гнутая пластина (Alduorite)
    S:oredict.plateCurvedAluminium.name=Гнутая пластина (Aluminium)
    S:oredict.plateCurvedAluminiumAlloy.name=Гнутая пластина (Aluminium Alloy)
    S:oredict.plateCurvedAluminiumBrass.name=Гнутая пластина (Aluminium Brass)
    S:oredict.plateCurvedAlumite.name=Гнутая пластина (Alumite)
    S:oredict.plateCurvedAmericium.name=Гнутая пластина (Americium)
    S:oredict.plateCurvedAmericium241.name=Гнутая пластина (Americium-241)
    S:oredict.plateCurvedAmericium242.name=Гнутая пластина (Americium-242)
    S:oredict.plateCurvedAmordrine.name=Гнутая пластина (Amordrine)
    S:oredict.plateCurvedAncientDebris.name=Гнутая пластина (Ancient Debris)
    S:oredict.plateCurvedAndesite.name=Гнутая пластина (Andesite)
    S:oredict.plateCurvedAngmallen.name=Гнутая пластина (Angmallen)
    S:oredict.plateCurvedAnnealedCopper.name=Гнутая пластина (Annealed Copper)
    S:oredict.plateCurvedAnthracite.name=Гнутая пластина (Anthracite)
    S:oredict.plateCurvedAntiActinium.name=Гнутая пластина (Anti-Actinium)
    S:oredict.plateCurvedAntiAdamantium.name=Гнутая пластина (Anti-Adamantium)
    S:oredict.plateCurvedAntiAluminium.name=Гнутая пластина (Anti-Aluminium)
    S:oredict.plateCurvedAntiAmericium.name=Гнутая пластина (Anti-Americium)
    S:oredict.plateCurvedAntiAmericium241.name=Гнутая пластина (Anti-Americium-241)
    S:oredict.plateCurvedAntiAntimony.name=Гнутая пластина (Anti-Antimony)
    S:oredict.plateCurvedAntiArsenic.name=Гнутая пластина (Anti-Arsenic)
    S:oredict.plateCurvedAntiAstatine.name=Гнутая пластина (Anti-Astatine)
    S:oredict.plateCurvedAntiBarium.name=Гнутая пластина (Anti-Barium)
    S:oredict.plateCurvedAntiBerkelium.name=Гнутая пластина (Anti-Berkelium)
    S:oredict.plateCurvedAntiBeryllium.name=Гнутая пластина (Anti-Beryllium)
    S:oredict.plateCurvedAntiBismuth.name=Гнутая пластина (Anti-Bismuth)
    S:oredict.plateCurvedAntiBohrium.name=Гнутая пластина (Anti-Bohrium)
    S:oredict.plateCurvedAntiBoron.name=Гнутая пластина (Anti-Boron)
    S:oredict.plateCurvedAntiCadmium.name=Гнутая пластина (Anti-Cadmium)
    S:oredict.plateCurvedAntiCaesium.name=Гнутая пластина (Anti-Caesium)
    S:oredict.plateCurvedAntiCalifornium.name=Гнутая пластина (Anti-Californium)
    S:oredict.plateCurvedAntiCerium.name=Гнутая пластина (Anti-Cerium)
    S:oredict.plateCurvedAntiChromium.name=Гнутая пластина (Anti-Chromium)
    S:oredict.plateCurvedAntiCobalt.name=Гнутая пластина (Anti-Cobalt)
    S:oredict.plateCurvedAntiCobalt60.name=Гнутая пластина (Anti-Cobalt-60)
    S:oredict.plateCurvedAntiCopernicium.name=Гнутая пластина (Anti-Copernicium)
    S:oredict.plateCurvedAntiCopper.name=Гнутая пластина (Anti-Copper)
    S:oredict.plateCurvedAntiCurium.name=Гнутая пластина (Anti-Curium)
    S:oredict.plateCurvedAntiDarmstadtium.name=Гнутая пластина (Anti-Darmstadtium)
    S:oredict.plateCurvedAntiDubnium.name=Гнутая пластина (Anti-Dubnium)
    S:oredict.plateCurvedAntiDysprosium.name=Гнутая пластина (Anti-Dysprosium)
    S:oredict.plateCurvedAntiEinsteinium.name=Гнутая пластина (Anti-Einsteinium)
    S:oredict.plateCurvedAntiErbium.name=Гнутая пластина (Anti-Erbium)
    S:oredict.plateCurvedAntiEuropium.name=Гнутая пластина (Anti-Europium)
    S:oredict.plateCurvedAntiFarnsium.name=Гнутая пластина (Anti-Farnsium)
    S:oredict.plateCurvedAntiFermium.name=Гнутая пластина (Anti-Fermium)
    S:oredict.plateCurvedAntiFlerovium.name=Гнутая пластина (Anti-Flerovium)
    S:oredict.plateCurvedAntiFlerovium298.name=Гнутая пластина (Anti-Flerovium-298)
    S:oredict.plateCurvedAntiFrancium.name=Гнутая пластина (Anti-Francium)
    S:oredict.plateCurvedAntiGadolinium.name=Гнутая пластина (Anti-Gadolinium)
    S:oredict.plateCurvedAntiGallium.name=Гнутая пластина (Anti-Gallium)
    S:oredict.plateCurvedAntiGermanium.name=Гнутая пластина (Anti-Germanium)
    S:oredict.plateCurvedAntiGold.name=Гнутая пластина (Anti-Gold)
    S:oredict.plateCurvedAntiHafnium.name=Гнутая пластина (Anti-Hafnium)
    S:oredict.plateCurvedAntiHassium.name=Гнутая пластина (Anti-Hassium)
    S:oredict.plateCurvedAntiHolmium.name=Гнутая пластина (Anti-Holmium)
    S:oredict.plateCurvedAntiIndium.name=Гнутая пластина (Anti-Indium)
    S:oredict.plateCurvedAntiIridium.name=Гнутая пластина (Anti-Iridium)
    S:oredict.plateCurvedAntiIron.name=Гнутая пластина (Anti-Iron)
    S:oredict.plateCurvedAntiLanthanum.name=Гнутая пластина (Anti-Lanthanum)
    S:oredict.plateCurvedAntiLawrencium.name=Гнутая пластина (Anti-Lawrencium)
    S:oredict.plateCurvedAntiLead.name=Гнутая пластина (Anti-Lead)
    S:oredict.plateCurvedAntiLivermorium.name=Гнутая пластина (Anti-Livermorium)
    S:oredict.plateCurvedAntiLutetium.name=Гнутая пластина (Anti-Lutetium)
    S:oredict.plateCurvedAntiMagnesium.name=Гнутая пластина (Anti-Magnesium)
    S:oredict.plateCurvedAntiManganese.name=Гнутая пластина (Anti-Manganese)
    S:oredict.plateCurvedAntiMeitnerium.name=Гнутая пластина (Anti-Meitnerium)
    S:oredict.plateCurvedAntiMendelevium.name=Гнутая пластина (Anti-Mendelevium)
    S:oredict.plateCurvedAntiMercury.name=Гнутая пластина (Anti-Mercury)
    S:oredict.plateCurvedAntiMolybdenum.name=Гнутая пластина (Anti-Molybdenum)
    S:oredict.plateCurvedAntiNaquadah.name=Гнутая пластина (Anti-Naquadah)
    S:oredict.plateCurvedAntiNaquadahEnriched.name=Гнутая пластина (Enriched Anti-Naquadah)
    S:oredict.plateCurvedAntiNaquadria.name=Гнутая пластина (Anti-Naquadria)
    S:oredict.plateCurvedAntiNeodymium.name=Гнутая пластина (Anti-Neodymium)
    S:oredict.plateCurvedAntiNeptunium.name=Гнутая пластина (Anti-Neptunium)
    S:oredict.plateCurvedAntiNickel.name=Гнутая пластина (Anti-Nickel)
    S:oredict.plateCurvedAntiNiobium.name=Гнутая пластина (Anti-Niobium)
    S:oredict.plateCurvedAntiNobelium.name=Гнутая пластина (Anti-Nobelium)
    S:oredict.plateCurvedAntiOsmium.name=Гнутая пластина (Anti-Osmium)
    S:oredict.plateCurvedAntiPalladium.name=Гнутая пластина (Anti-Palladium)
    S:oredict.plateCurvedAntiPlatinum.name=Гнутая пластина (Anti-Platinum)
    S:oredict.plateCurvedAntiPlutonium.name=Гнутая пластина (Anti-Plutonium)
    S:oredict.plateCurvedAntiPlutonium241.name=Гнутая пластина (Anti-Plutonium-241)
    S:oredict.plateCurvedAntiPlutonium243.name=Гнутая пластина (Anti-Plutonium-243)
    S:oredict.plateCurvedAntiPolonium.name=Гнутая пластина (Anti-Polonium)
    S:oredict.plateCurvedAntiPraseodymium.name=Гнутая пластина (Anti-Praseodymium)
    S:oredict.plateCurvedAntiPromethium.name=Гнутая пластина (Anti-Promethium)
    S:oredict.plateCurvedAntiProtactinium.name=Гнутая пластина (Anti-Protactinium)
    S:oredict.plateCurvedAntiRadium.name=Гнутая пластина (Anti-Radium)
    S:oredict.plateCurvedAntiRhenium.name=Гнутая пластина (Anti-Rhenium)
    S:oredict.plateCurvedAntiRhodium.name=Гнутая пластина (Anti-Rhodium)
    S:oredict.plateCurvedAntiRoentgenium.name=Гнутая пластина (Anti-Roentgenium)
    S:oredict.plateCurvedAntiRubidium.name=Гнутая пластина (Anti-Rubidium)
    S:oredict.plateCurvedAntiRuthenium.name=Гнутая пластина (Anti-Ruthenium)
    S:oredict.plateCurvedAntiRutherfordium.name=Гнутая пластина (Anti-Rutherfordium)
    S:oredict.plateCurvedAntiSamarium.name=Гнутая пластина (Anti-Samarium)
    S:oredict.plateCurvedAntiScandium.name=Гнутая пластина (Anti-Scandium)
    S:oredict.plateCurvedAntiSeaborgium.name=Гнутая пластина (Anti-Seaborgium)
    S:oredict.plateCurvedAntiSilicon.name=Гнутая пластина (Anti-Silicon)
    S:oredict.plateCurvedAntiSilver.name=Гнутая пластина (Anti-Silver)
    S:oredict.plateCurvedAntiStrontium.name=Гнутая пластина (Anti-Strontium)
    S:oredict.plateCurvedAntiTantalum.name=Гнутая пластина (Anti-Tantalum)
    S:oredict.plateCurvedAntiTechnetium.name=Гнутая пластина (Anti-Technetium)
    S:oredict.plateCurvedAntiTellurium.name=Гнутая пластина (Anti-Tellurium)
    S:oredict.plateCurvedAntiTerbium.name=Гнутая пластина (Anti-Terbium)
    S:oredict.plateCurvedAntiThallium.name=Гнутая пластина (Anti-Thallium)
    S:oredict.plateCurvedAntiThorium.name=Гнутая пластина (Anti-Thorium)
    S:oredict.plateCurvedAntiThulium.name=Гнутая пластина (Anti-Thulium)
    S:oredict.plateCurvedAntiTin.name=Гнутая пластина (Anti-Tin)
    S:oredict.plateCurvedAntiTitanium.name=Гнутая пластина (Anti-Titanium)
    S:oredict.plateCurvedAntiTungsten.name=Гнутая пластина (Anti-Tungsten)
    S:oredict.plateCurvedAntiUnbinilium.name=Гнутая пластина (Anti-Unbinilium)
    S:oredict.plateCurvedAntiUnunennium.name=Гнутая пластина (Anti-Ununennium)
    S:oredict.plateCurvedAntiUnunoctium.name=Гнутая пластина (Anti-Ununoctium)
    S:oredict.plateCurvedAntiUnunpentium.name=Гнутая пластина (Anti-Ununpentium)
    S:oredict.plateCurvedAntiUnuntrium.name=Гнутая пластина (Anti-Ununtrium)
    S:oredict.plateCurvedAntiUranium.name=Гнутая пластина (Anti-Uranium)
    S:oredict.plateCurvedAntiUranium235.name=Гнутая пластина (Anti-Uranium-235)
    S:oredict.plateCurvedAntiVanadium.name=Гнутая пластина (Anti-Vanadium)
    S:oredict.plateCurvedAntiYtterbium.name=Гнутая пластина (Anti-Ytterbium)
    S:oredict.plateCurvedAntiYttrium.name=Гнутая пластина (Anti-Yttrium)
    S:oredict.plateCurvedAntiZinc.name=Гнутая пластина (Anti-Zinc)
    S:oredict.plateCurvedAntiZirconium.name=Гнутая пластина (Anti-Zirconium)
    S:oredict.plateCurvedAntimony.name=Гнутая пластина (Antimony)
    S:oredict.plateCurvedApplewood.name=Гнутая планка (Applewood)
    S:oredict.plateCurvedArdite.name=Гнутая пластина (Ardite)
    S:oredict.plateCurvedAredrite.name=Гнутая пластина (Aredrite)
    S:oredict.plateCurvedArsenic.name=Гнутая пластина (Arsenic)
    S:oredict.plateCurvedAsbestos.name=Гнутая пластина (Asbestos)
    S:oredict.plateCurvedAshwood.name=Гнутая планка (Ashwood)
    S:oredict.plateCurvedAspen.name=Гнутая планка (Aspen)
    S:oredict.plateCurvedAstatine.name=Гнутая пластина (Astatine)
    S:oredict.plateCurvedAstralSilver.name=Гнутая пластина (Astral Silver)
    S:oredict.plateCurvedAtlarus.name=Гнутая пластина (Atlarus)
    S:oredict.plateCurvedAutumnwood.name=Гнутая планка (Autumn Wood)
    S:oredict.plateCurvedBalsa.name=Гнутая планка (Balsa)
    S:oredict.plateCurvedBamboo.name=Гнутая планка (Bamboo)
    S:oredict.plateCurvedBaobab.name=Гнутая планка (Baobab)
    S:oredict.plateCurvedBarium.name=Гнутая пластина (Barium)
    S:oredict.plateCurvedBasalt.name=Гнутая пластина (Basalt)
    S:oredict.plateCurvedBasalz.name=Гнутая пластина (Basalz)
    S:oredict.plateCurvedBatteryAlloy.name=Гнутая пластина (Battery Alloy)
    S:oredict.plateCurvedBedrock.name=Гнутая пластина (Bedrock)
    S:oredict.plateCurvedBedrockHSLAAlloy.name=Гнутая пластина (Bedrock-HSLA-Alloy)
    S:oredict.plateCurvedBedrockium.name=Гнутая пластина (Bedrockium)
    S:oredict.plateCurvedBeech.name=Гнутая планка (Beech)
    S:oredict.plateCurvedBentonite.name=Гнутая пластина (Bentonite Clay)
    S:oredict.plateCurvedBerkelium.name=Гнутая пластина (Berkelium)
    S:oredict.plateCurvedBeryllium.name=Гнутая пластина (Beryllium)
    S:oredict.plateCurvedBeryllium7.name=Гнутая пластина (Beryllium-7)
    S:oredict.plateCurvedBeryllium8.name=Гнутая пластина (Beryllium-8)
    S:oredict.plateCurvedBetweenstone.name=Гнутая пластина (Betweenstone)
    S:oredict.plateCurvedBirch.name=Гнутая планка (Birch)
    S:oredict.plateCurvedBismuth.name=Гнутая пластина (Bismuth)
    S:oredict.plateCurvedBismuthBronze.name=Гнутая пластина (Bismuth Bronze)
    S:oredict.plateCurvedBlackBronze.name=Гнутая пластина (Black Bronze)
    S:oredict.plateCurvedBlackSteel.name=Гнутая пластина (Black Steel)
    S:oredict.plateCurvedBlackstone.name=Гнутая пластина (Blackstone)
    S:oredict.plateCurvedBlaze.name=Гнутая пластина (Blaze)
    S:oredict.plateCurvedBlitz.name=Гнутая пластина (Blitz)
    S:oredict.plateCurvedBlizz.name=Гнутая пластина (Blizz)
    S:oredict.plateCurvedBlueAlloy.name=Гнутая пластина (Blue Alloy)
    S:oredict.plateCurvedBlueMahoe.name=Гнутая планка (Blue Mahoe)
    S:oredict.plateCurvedBlueSpruce.name=Гнутая планка (Blue Spruce)
    S:oredict.plateCurvedBlueSteel.name=Гнутая пластина (Blue Steel)
    S:oredict.plateCurvedBlueschist.name=Гнутая пластина (Blue Schist)
    S:oredict.plateCurvedBluestone.name=Гнутая пластина (Bluestone)
    S:oredict.plateCurvedBlutonium.name=Гнутая пластина (Blutonium)
    S:oredict.plateCurvedBohrium.name=Гнутая пластина (Bohrium)
    S:oredict.plateCurvedBone.name=Гнутая пластина (Bone)
    S:oredict.plateCurvedBoron.name=Гнутая пластина (Boron)
    S:oredict.plateCurvedBoron11.name=Гнутая пластина (Boron-11)
    S:oredict.plateCurvedBoxwood.name=Гнутая планка (Boxwood)
